protein,EC,point_cloud
P77874,1.18.6.1,P77874.txt
P55170,1.18.6.1,P55170.txt
P0CW51,1.18.6.1,P0CW51.txt
Q50788,1.18.6.1,Q50788.txt
P06769,1.18.6.1,P06769.txt
Q55029,1.18.6.1,Q55029.txt
P26248,1.18.6.1,P26248.txt
Q47917,1.18.6.1,Q47917.txt
O27602,1.18.6.1,O27602.txt
P00457,1.18.6.1,P00457.txt
D5ANI3,1.18.6.1,D5ANI3.txt
P06118,1.18.6.1,P06118.txt
Q47921,1.18.6.1,Q47921.txt
O26739,1.18.6.1,O26739.txt
Q9AKT4,1.18.6.1,Q9AKT4.txt
P16269,1.18.6.1,P16269.txt
P09554,1.18.6.1,P09554.txt
B5ER76,1.18.6.1,B5ER76.txt
A6TTY3,1.18.6.1,A6TTY3.txt
B6YRI6,1.18.6.1,B6YRI6.txt
A3PLS9,1.18.6.1,A3PLS9.txt
Q3AR70,1.18.6.1,Q3AR70.txt
B3QQ12,1.18.6.1,B3QQ12.txt
A4SFU6,1.18.6.1,A4SFU6.txt
O07641,1.18.6.1,O07641.txt
Q3Z7C7,1.18.6.1,Q3Z7C7.txt
B1I0Y8,1.18.6.1,B1I0Y8.txt
P26249,1.18.6.1,P26249.txt
Q47922,1.18.6.1,Q47922.txt
B7KG76,1.18.6.1,B7KG76.txt
B5XPH2,1.18.6.1,B5XPH2.txt
A0L6X0,1.18.6.1,A0L6X0.txt
Q0W443,1.18.6.1,Q0W443.txt
Q8PYY0,1.18.6.1,Q8PYY0.txt
P0CW57,1.18.6.1,P0CW57.txt
P06119,1.18.6.1,P06119.txt
P52336,1.18.6.1,P52336.txt
B4S9H5,1.18.6.1,B4S9H5.txt
P20623,1.18.6.1,P20623.txt
P00460,1.18.6.1,P00460.txt
P22921,1.18.6.1,P22921.txt
A5USK5,1.18.6.1,A5USK5.txt
C4XRK2,1.18.6.1,C4XRK2.txt
Q2JP78,1.18.6.1,Q2JP78.txt
P0A3S2,1.18.6.1,P0A3S2.txt
Q7M8U8,1.18.6.1,Q7M8U8.txt
P25314,1.18.6.1,P25314.txt
P06122,1.18.6.1,P06122.txt
Q57118,1.18.6.1,Q57118.txt
P51754,1.18.6.1,P51754.txt
O27606,1.18.6.1,O27606.txt
P00468,1.18.6.1,P00468.txt
P15332,1.18.6.1,P15332.txt
P16855,1.18.6.1,P16855.txt
P16857,1.18.6.1,P16857.txt
O68952,1.18.6.1,O68952.txt
Q74NT6,1.20.4.4,Q74NT6.txt
Q49WS7,1.20.4.4,Q49WS7.txt
Q4LAA8,1.20.4.4,Q4LAA8.txt
Q9K8K8,1.20.4.4,Q9K8K8.txt
Q81NJ6,1.20.4.4,Q81NJ6.txt
B7HWU2,1.20.4.4,B7HWU2.txt
Q81BK3,1.20.4.4,Q81BK3.txt
Q65IV4,1.20.4.4,Q65IV4.txt
A4INR2,1.20.4.4,A4INR2.txt
Q8GJ74,1.20.4.4,Q8GJ74.txt
Q2YTL3,1.20.4.4,Q2YTL3.txt
P0A005,1.20.4.4,P0A005.txt
P0A006,1.20.4.4,P0A006.txt
Q6F9I9,1.21.98.4,Q6F9I9.txt
B2I0I5,1.21.98.4,B2I0I5.txt
P07782,1.21.98.4,P07782.txt
B2VL10,1.21.98.4,B2VL10.txt
B5XX58,1.21.98.4,B5XX58.txt
P59748,1.21.98.4,P59748.txt
P71517,1.21.98.4,P71517.txt
B1ZIB2,1.21.98.4,B1ZIB2.txt
B8ENI9,1.21.98.4,B8ENI9.txt
Q02LD6,1.21.98.4,Q02LD6.txt
A4XTR4,1.21.98.4,A4XTR4.txt
Q88A84,1.21.98.4,Q88A84.txt
O33506,1.21.98.4,O33506.txt
Q5LTB4,1.21.98.4,Q5LTB4.txt
Q3BQI4,1.21.98.4,Q3BQI4.txt
Q8P6M7,1.21.98.4,Q8P6M7.txt
Q5H234,1.21.98.4,Q5H234.txt
B0C474,1.97.1.12,B0C474.txt
A4QJB5,1.97.1.12,A4QJB5.txt
Q70Y03,1.97.1.12,Q70Y03.txt
Q9MUJ5,1.97.1.12,Q9MUJ5.txt
A4QK18,1.97.1.12,A4QK18.txt
Q8S8X4,1.97.1.12,Q8S8X4.txt
Q7YJX2,1.97.1.12,Q7YJX2.txt
Q1ACL4,1.97.1.12,Q1ACL4.txt
P56341,1.97.1.12,P56341.txt
A4QKT1,1.97.1.12,A4QKT1.txt
Q85FY7,1.97.1.12,Q85FY7.txt
Q06GZ7,1.97.1.12,Q06GZ7.txt
Q9MUK4,1.97.1.12,Q9MUK4.txt
Q49KZ8,1.97.1.12,Q49KZ8.txt
B7KC47,1.97.1.12,B7KC47.txt
Q2L907,1.97.1.12,Q2L907.txt
Q1KXV9,1.97.1.12,Q1KXV9.txt
Q5SD06,1.97.1.12,Q5SD06.txt
A4QLA6,1.97.1.12,A4QLA6.txt
P58310,1.97.1.12,P58310.txt
P06406,1.97.1.12,P06406.txt
Q09X17,1.97.1.12,Q09X17.txt
Q1XDK4,1.97.1.12,Q1XDK4.txt
Q33C36,1.97.1.12,Q33C36.txt
Q6EW48,1.97.1.12,Q6EW48.txt
Q20EW6,1.97.1.12,Q20EW6.txt
P0C354,1.97.1.12,P0C354.txt
Q68S06,1.97.1.12,Q68S06.txt
Q06FW5,1.97.1.12,Q06FW5.txt
A4GG97,1.97.1.12,A4GG97.txt
Q85WX3,1.97.1.12,Q85WX3.txt
Q09G46,1.97.1.12,Q09G46.txt
P51284,1.97.1.12,P51284.txt
A2C4V3,1.97.1.12,A2C4V3.txt
A2BYP9,1.97.1.12,A2BYP9.txt
Q7V510,1.97.1.12,Q7V510.txt
Q46IV6,1.97.1.12,Q46IV6.txt
Q6L398,1.97.1.12,Q6L398.txt
Q2MII7,1.97.1.12,Q2MII7.txt
Q9T2L6,1.97.1.12,Q9T2L6.txt
Q32RS3,1.97.1.12,Q32RS3.txt
P0A406,1.97.1.12,P0A406.txt
P17154,1.97.1.12,P17154.txt
Q0ID48,1.97.1.12,Q0ID48.txt
P29254,1.97.1.12,P29254.txt
P0A405,1.97.1.12,P0A405.txt
Q9MUJ0,1.97.1.12,Q9MUJ0.txt
Q44550,1.97.1.12,Q44550.txt
Q9MUK2,1.97.1.12,Q9MUK2.txt
P58565,1.97.1.12,P58565.txt
Q3MA04,1.97.1.12,Q3MA04.txt
A4QJB4,1.97.1.12,A4QJB4.txt
Q70Y04,1.97.1.12,Q70Y04.txt
Q85AV8,1.97.1.12,Q85AV8.txt
P56767,1.97.1.12,P56767.txt
Q06J40,1.97.1.12,Q06J40.txt
A4QKJ1,1.97.1.12,A4QKJ1.txt
Q19V90,1.97.1.12,Q19V90.txt
A6MMC1,1.97.1.12,A6MMC1.txt
A0A334,1.97.1.12,A0A334.txt
Q49CB2,1.97.1.12,Q49CB2.txt
P48113,1.97.1.12,P48113.txt
A6MMK6,1.97.1.12,A6MMK6.txt
Q4G3F5,1.97.1.12,Q4G3F5.txt
Q7NFT5,1.97.1.12,Q7NFT5.txt
Q2L903,1.97.1.12,Q2L903.txt
Q1KXW0,1.97.1.12,Q1KXW0.txt
Q5SD11,1.97.1.12,Q5SD11.txt
Q332X9,1.97.1.12,Q332X9.txt
A4QLJ3,1.97.1.12,A4QLJ3.txt
P06408,1.97.1.12,P06408.txt
Q09X18,1.97.1.12,Q09X18.txt
Q1XDK3,1.97.1.12,Q1XDK3.txt
Q33C37,1.97.1.12,Q33C37.txt
A4QJT2,1.97.1.12,A4QJT2.txt
P0C356,1.97.1.12,P0C356.txt
Q0P3K2,1.97.1.12,Q0P3K2.txt
P05311,1.97.1.12,P05311.txt
A0T0M7,1.97.1.12,A0T0M7.txt
Q85WX0,1.97.1.12,Q85WX0.txt
Q09G47,1.97.1.12,Q09G47.txt
P51285,1.97.1.12,P51285.txt
A2C4V4,1.97.1.12,A2C4V4.txt
Q318M0,1.97.1.12,Q318M0.txt
Q9RC07,1.97.1.12,Q9RC07.txt
P58765,1.97.1.12,P58765.txt
Q6ENW4,1.97.1.12,Q6ENW4.txt
Q2MIA1,1.97.1.12,Q2MIA1.txt
Q2PMU2,1.97.1.12,Q2PMU2.txt
Q06SF0,1.97.1.12,Q06SF0.txt
Q2JRU9,1.97.1.12,Q2JRU9.txt
Q5N0D5,1.97.1.12,Q5N0D5.txt
Q3AUT6,1.97.1.12,Q3AUT6.txt
Q1KVS5,1.97.1.12,Q1KVS5.txt
P0A409,1.97.1.12,P0A409.txt
Q10VT8,1.97.1.12,Q10VT8.txt
P58386,1.97.1.12,P58386.txt
Q3V4Y3,1.97.1.12,Q3V4Y3.txt
A4QJG7,1.97.1.12,A4QJG7.txt
Q70XW3,1.97.1.12,Q70XW3.txt
Q85AC1,1.97.1.12,Q85AC1.txt
P62090,1.97.1.12,P62090.txt
Q06J47,1.97.1.12,Q06J47.txt
A4QKP6,1.97.1.12,A4QKP6.txt
Q1ACE8,1.97.1.12,Q1ACE8.txt
A6MMH6,1.97.1.12,A6MMH6.txt
A0A386,1.97.1.12,A0A386.txt
P42046,1.97.1.12,P42046.txt
A8W3M8,1.97.1.12,A8W3M8.txt
Q85G47,1.97.1.12,Q85G47.txt
A6H5P3,1.97.1.12,A6H5P3.txt
A4QL72,1.97.1.12,A4QL72.txt
Q49KU7,1.97.1.12,Q49KU7.txt
Q7NG86,1.97.1.12,Q7NG86.txt
A0ZZ86,1.97.1.12,A0ZZ86.txt
O78443,1.97.1.12,O78443.txt
Q5SCZ7,1.97.1.12,Q5SCZ7.txt
Q06R79,1.97.1.12,Q06R79.txt
Q0G9G8,1.97.1.12,Q0G9G8.txt
P62092,1.97.1.12,P62092.txt
O07112,1.97.1.12,O07112.txt
P0A412,1.97.1.12,P0A412.txt
A4QLY6,1.97.1.12,A4QLY6.txt
Q3C1Q3,1.97.1.12,Q3C1Q3.txt
P0A410,1.97.1.12,P0A410.txt
Q6EVZ9,1.97.1.12,Q6EVZ9.txt
Q20EY7,1.97.1.12,Q20EY7.txt
P0C360,1.97.1.12,P0C360.txt
Q68RV5,1.97.1.12,Q68RV5.txt
Q06FQ3,1.97.1.12,Q06FQ3.txt
A4GGE7,1.97.1.12,A4GGE7.txt
P41649,1.97.1.12,P41649.txt
A6YGC0,1.97.1.12,A6YGC0.txt
P51374,1.97.1.12,P51374.txt
A8G7B3,1.97.1.12,A8G7B3.txt
A2BYZ1,1.97.1.12,A2BYZ1.txt
Q7V4J7,1.97.1.12,Q7V4J7.txt
Q46IK4,1.97.1.12,Q46IK4.txt
A6MVS8,1.97.1.12,A6MVS8.txt
Q6ENP6,1.97.1.12,Q6ENP6.txt
Q2MID6,1.97.1.12,Q2MID6.txt
A1E9X5,1.97.1.12,A1E9X5.txt
Q32S09,1.97.1.12,Q32S09.txt
P0A416,1.97.1.12,P0A416.txt
P31087,1.97.1.12,P31087.txt
P0A419,1.97.1.12,P0A419.txt
Q3B0I2,1.97.1.12,Q3B0I2.txt
Q1KVW1,1.97.1.12,Q1KVW1.txt
P0A417,1.97.1.12,P0A417.txt
Q119B1,1.97.1.12,Q119B1.txt
Q0ZIW7,1.97.1.12,Q0ZIW7.txt
Q32RM0,1.97.1.12,Q32RM0.txt
O50008,2.1.1.14,O50008.txt
Q2QLY4,2.1.1.14,Q2QLY4.txt
B7J432,2.1.1.14,B7J432.txt
B3GY43,2.1.1.14,B3GY43.txt
Q0VR89,2.1.1.14,Q0VR89.txt
Q0A6U0,2.1.1.14,Q0A6U0.txt
C3P710,2.1.1.14,C3P710.txt
Q6KNA9,2.1.1.14,Q6KNA9.txt
B7IVP2,2.1.1.14,B7IVP2.txt
B7HMX7,2.1.1.14,B7HMX7.txt
Q819H7,2.1.1.14,Q819H7.txt
Q65KT8,2.1.1.14,Q65KT8.txt
P80877,2.1.1.14,P80877.txt
B8DUK6,2.1.1.14,B8DUK6.txt
Q8G651,2.1.1.14,Q8G651.txt
Q491V4,2.1.1.14,Q491V4.txt
Q7W791,2.1.1.14,Q7W791.txt
Q9AMV8,2.1.1.14,Q9AMV8.txt
Q89B24,2.1.1.14,Q89B24.txt
Q1BQX8,2.1.1.14,Q1BQX8.txt
B4EJ37,2.1.1.14,B4EJ37.txt
A3MHJ9,2.1.1.14,A3MHJ9.txt
A1V6R3,2.1.1.14,A1V6R3.txt
A3NC70,2.1.1.14,A3NC70.txt
A4JJS1,2.1.1.14,A4JJS1.txt
Q9PN94,2.1.1.14,Q9PN94.txt
P82610,2.1.1.14,P82610.txt
Q11EU7,2.1.1.14,Q11EU7.txt
Q7NS23,2.1.1.14,Q7NS23.txt
A4QDA4,2.1.1.14,A4QDA4.txt
B6J3R8,2.1.1.14,B6J3R8.txt
Q83A62,2.1.1.14,Q83A62.txt
Q0K0V6,2.1.1.14,Q0K0V6.txt
Q725Q3,2.1.1.14,Q725Q3.txt
A7ZU36,2.1.1.14,A7ZU36.txt
B5YY78,2.1.1.14,B5YY78.txt
B1XAJ3,2.1.1.14,B1XAJ3.txt
Q0TAP6,2.1.1.14,Q0TAP6.txt
P25665,2.1.1.14,P25665.txt
B1LM00,2.1.1.14,B1LM00.txt
B2VI65,2.1.1.14,B2VI65.txt
A5UBH4,2.1.1.14,A5UBH4.txt
Q0I3P2,2.1.1.14,Q0I3P2.txt
B0UU16,2.1.1.14,B0UU16.txt
A6TGK9,2.1.1.14,A6TGK9.txt
Q02YT3,2.1.1.14,Q02YT3.txt
C1KVY0,2.1.1.14,C1KVY0.txt
A0AJD5,2.1.1.14,A0AJD5.txt
Q605M0,2.1.1.14,Q605M0.txt
A1KHS4,2.1.1.14,A1KHS4.txt
A5U1I0,2.1.1.14,A5U1I0.txt
Q5F863,2.1.1.14,Q5F863.txt
Q9JZQ2,2.1.1.14,Q9JZQ2.txt
Q3JAD5,2.1.1.14,Q3JAD5.txt
B2JNZ4,2.1.1.14,B2JNZ4.txt
P57843,2.1.1.14,P57843.txt
Q6LSD6,2.1.1.14,Q6LSD6.txt
B4EWC2,2.1.1.14,B4EWC2.txt
Q02L76,2.1.1.14,Q02L76.txt
Q4KE22,2.1.1.14,Q4KE22.txt
B1J2V4,2.1.1.14,B1J2V4.txt
A1T007,2.1.1.14,A1T007.txt
Q98A73,2.1.1.14,Q98A73.txt
B3QGC4,2.1.1.14,B3QGC4.txt
B5EZU1,2.1.1.14,B5EZU1.txt
B5FNW1,2.1.1.14,B5FNW1.txt
B4TBQ7,2.1.1.14,B4TBQ7.txt
A9MY90,2.1.1.14,A9MY90.txt
B4TNX3,2.1.1.14,B4TNX3.txt
Q9UT19,2.1.1.14,Q9UT19.txt
B2TVH5,2.1.1.14,B2TVH5.txt
Q0SZ21,2.1.1.14,Q0SZ21.txt
Q2NWV8,2.1.1.14,Q2NWV8.txt
Q2FJQ7,2.1.1.14,Q2FJQ7.txt
Q2YVH7,2.1.1.14,Q2YVH7.txt
P65342,2.1.1.14,P65342.txt
Q6GCB6,2.1.1.14,Q6GCB6.txt
Q5HS05,2.1.1.14,Q5HS05.txt
Q3JYS3,2.1.1.14,Q3JYS3.txt
Q82LG4,2.1.1.14,Q82LG4.txt
B1VV57,2.1.1.14,B1VV57.txt
B5E298,2.1.1.14,B5E298.txt
Q8DQT2,2.1.1.14,Q8DQT2.txt
Q03L46,2.1.1.14,Q03L46.txt
Q9X112,2.1.1.14,Q9X112.txt
Q8DJY0,2.1.1.14,Q8DJY0.txt
Q117R7,2.1.1.14,Q117R7.txt
Q8KRG6,2.1.1.14,Q8KRG6.txt
Q7MJM6,2.1.1.14,Q7MJM6.txt
B0U3F5,2.1.1.14,B0U3F5.txt
A1JIE5,2.1.1.14,A1JIE5.txt
Q8ZAL3,2.1.1.14,Q8ZAL3.txt
Q66FT7,2.1.1.14,Q66FT7.txt
A7TNI7,2.1.1.17,A7TNI7.txt
C6H4B5,2.1.1.17,C6H4B5.txt
C5FZ62,2.1.1.17,C5FZ62.txt
B0XUW3,2.1.1.17,B0XUW3.txt
A2R616,2.1.1.17,A2R616.txt
C5JCV0,2.1.1.17,C5JCV0.txt
C4YL78,2.1.1.17,C4YL78.txt
C5M4D4,2.1.1.17,C5M4D4.txt
C5PEI5,2.1.1.17,C5PEI5.txt
C7Z7C3,2.1.1.17,C7Z7C3.txt
B0D4E6,2.1.1.17,B0D4E6.txt
A4RHN5,2.1.1.17,A4RHN5.txt
Q7SAJ6,2.1.1.17,Q7SAJ6.txt
C0RZV6,2.1.1.17,C0RZV6.txt
A5DL79,2.1.1.17,A5DL79.txt
B2WFD4,2.1.1.17,B2WFD4.txt
D1ZIW5,2.1.1.17,D1ZIW5.txt
D4DGR3,2.1.1.17,D4DGR3.txt
B3LI73,2.1.1.17,B3LI73.txt
A6ZUG8,2.1.1.17,A6ZUG8.txt
C5DZU3,2.1.1.17,C5DZU3.txt
Q7YRH6,2.1.1.17,Q7YRH6.txt
Q08388,2.1.1.17,Q08388.txt
Q1RH40,2.1.1.33,Q1RH40.txt
Q9ZCB3,2.1.1.33,Q9ZCB3.txt
A9UMM1,2.1.1.33,A9UMM1.txt
Q6FCN6,2.1.1.33,Q6FCN6.txt
A3N231,2.1.1.33,A3N231.txt
A0KNV5,2.1.1.33,A0KNV5.txt
B5F9R5,2.1.1.33,B5F9R5.txt
Q0ACP5,2.1.1.33,Q0ACP5.txt
A8MIM4,2.1.1.33,A8MIM4.txt
O66479,2.1.1.33,O66479.txt
A0K1I7,2.1.1.33,A0K1I7.txt
B0Y4I9,2.1.1.33,B0Y4I9.txt
Q2UU72,2.1.1.33,Q2UU72.txt
A1KCM8,2.1.1.33,A1KCM8.txt
A0RJT7,2.1.1.33,A0RJT7.txt
Q72Z28,2.1.1.33,Q72Z28.txt
B7H758,2.1.1.33,B7H758.txt
B9J1A0,2.1.1.33,B9J1A0.txt
Q5L8Y2,2.1.1.33,Q5L8Y2.txt
Q65G12,2.1.1.33,Q65G12.txt
Q8A0X7,2.1.1.33,Q8A0X7.txt
Q6G4W3,2.1.1.33,Q6G4W3.txt
A1A0E0,2.1.1.33,A1A0E0.txt
Q1HPU2,2.1.1.33,Q1HPU2.txt
Q7WC23,2.1.1.33,Q7WC23.txt
Q2YDF1,2.1.1.33,Q2YDF1.txt
Q2YQS1,2.1.1.33,Q2YQS1.txt
A8NFF0,2.1.1.33,A8NFF0.txt
B8D9X3,2.1.1.33,B8D9X3.txt
B8D875,2.1.1.33,B8D875.txt
A0K594,2.1.1.33,A0K594.txt
Q62HT7,2.1.1.33,Q62HT7.txt
Q2SYE0,2.1.1.33,Q2SYE0.txt
Q23126,2.1.1.33,Q23126.txt
A7H2A2,2.1.1.33,A7H2A2.txt
Q5HTI5,2.1.1.33,Q5HTI5.txt
B0T162,2.1.1.33,B0T162.txt
Q3IW88,2.1.1.33,Q3IW88.txt
A9WHH4,2.1.1.33,A9WHH4.txt
P59718,2.1.1.33,P59718.txt
A1BGS9,2.1.1.33,A1BGS9.txt
B3QY13,2.1.1.33,B3QY13.txt
Q1QSR9,2.1.1.33,Q1QSR9.txt
A7FRB3,2.1.1.33,A7FRB3.txt
B2V2I8,2.1.1.33,B2V2I8.txt
C1FSH8,2.1.1.33,C1FSH8.txt
B1KV69,2.1.1.33,B1KV69.txt
A5N127,2.1.1.33,A5N127.txt
Q8XNB4,2.1.1.33,Q8XNB4.txt
Q5H737,2.1.1.33,Q5H737.txt
Q6NET4,2.1.1.33,Q6NET4.txt
Q8NLS3,2.1.1.33,Q8NLS3.txt
A7MLY2,2.1.1.33,A7MLY2.txt
B0WSB8,2.1.1.33,B0WSB8.txt
Q474P5,2.1.1.33,Q474P5.txt
Q5XJ57,2.1.1.33,Q5XJ57.txt
Q1IWK0,2.1.1.33,Q1IWK0.txt
Q24W00,2.1.1.33,Q24W00.txt
B3P8V8,2.1.1.33,B3P8V8.txt
B4L529,2.1.1.33,B4L529.txt
B4I9N7,2.1.1.33,B4I9N7.txt
B4N278,2.1.1.33,B4N278.txt
P0A8I6,2.1.1.33,P0A8I6.txt
Q0TDP1,2.1.1.33,Q0TDP1.txt
P0A8I5,2.1.1.33,P0A8I5.txt
P59719,2.1.1.33,P59719.txt
C4L4Q4,2.1.1.33,C4L4Q4.txt
A0Q7Q5,2.1.1.33,A0Q7Q5.txt
Q5KW28,2.1.1.33,Q5KW28.txt
C5D6C2,2.1.1.33,C5D6C2.txt
A0LXL4,2.1.1.33,A0LXL4.txt
A5UAE5,2.1.1.33,A5UAE5.txt
Q0I516,2.1.1.33,Q0I516.txt
Q17Y01,2.1.1.33,Q17Y01.txt
Q9ZL96,2.1.1.33,Q9ZL96.txt
Q9UBP6,2.1.1.33,Q9UBP6.txt
Q5QY61,2.1.1.33,Q5QY61.txt
Q6CY47,2.1.1.33,Q6CY47.txt
Q1G997,2.1.1.33,Q1G997.txt
A8YWH0,2.1.1.33,A8YWH0.txt
A2RM55,2.1.1.33,A2RM55.txt
A9KLV5,2.1.1.33,A9KLV5.txt
Q5X7R0,2.1.1.33,Q5X7R0.txt
Q5WZ61,2.1.1.33,Q5WZ61.txt
Q04XB2,2.1.1.33,Q04XB2.txt
B1MZE7,2.1.1.33,B1MZE7.txt
Q1WUP5,2.1.1.33,Q1WUP5.txt
B2G8C8,2.1.1.33,B2G8C8.txt
B8DHC7,2.1.1.33,B8DHC7.txt
A5E7T4,2.1.1.33,A5E7T4.txt
A0L4N8,2.1.1.33,A0L4N8.txt
Q65VT5,2.1.1.33,Q65VT5.txt
Q6F1P8,2.1.1.33,Q6F1P8.txt
A2SJR5,2.1.1.33,A2SJR5.txt
A0QME9,2.1.1.33,A0QME9.txt
A1KF28,2.1.1.33,A1KF28.txt
Q7NBG2,2.1.1.33,Q7NBG2.txt
Q600J2,2.1.1.33,Q600J2.txt
Q9F411,2.1.1.33,Q9F411.txt
Q6KHE8,2.1.1.33,Q6KHE8.txt
Q8EWB6,2.1.1.33,Q8EWB6.txt
Q4A6T7,2.1.1.33,Q4A6T7.txt
A5TYT3,2.1.1.33,A5TYT3.txt
A0PMW8,2.1.1.33,A0PMW8.txt
Q5F929,2.1.1.33,Q5F929.txt
Q9JU19,2.1.1.33,Q9JU19.txt
A1CWA9,2.1.1.33,A1CWA9.txt
Q0AJ68,2.1.1.33,Q0AJ68.txt
Q2YCZ3,2.1.1.33,Q2YCZ3.txt
Q5YNA5,2.1.1.33,Q5YNA5.txt
Q2GBM0,2.1.1.33,Q2GBM0.txt
A2YB34,2.1.1.33,A2YB34.txt
A1B475,2.1.1.33,A1B475.txt
Q13V14,2.1.1.33,Q13V14.txt
Q03GC9,2.1.1.33,Q03GC9.txt
Q6LML0,2.1.1.33,Q6LML0.txt
B2AR91,2.1.1.33,B2AR91.txt
Q7MVS9,2.1.1.33,Q7MVS9.txt
A2CCG0,2.1.1.33,A2CCG0.txt
Q7VDU8,2.1.1.33,Q7VDU8.txt
A2BP39,2.1.1.33,A2BP39.txt
Q15ZS8,2.1.1.33,Q15ZS8.txt
Q9I6B3,2.1.1.33,Q9I6B3.txt
C3K3L6,2.1.1.33,C3K3L6.txt
Q3K588,2.1.1.33,Q3K588.txt
B1J2G9,2.1.1.33,B1J2G9.txt
Q4ZM56,2.1.1.33,Q4ZM56.txt
Q1Q963,2.1.1.33,Q1Q963.txt
Q8Y1I7,2.1.1.33,Q8Y1I7.txt
Q98BJ3,2.1.1.33,Q98BJ3.txt
Q21X81,2.1.1.33,Q21X81.txt
Q07V74,2.1.1.33,Q07V74.txt
Q13EL3,2.1.1.33,Q13EL3.txt
Q1AUF5,2.1.1.33,Q1AUF5.txt
B8I005,2.1.1.33,B8I005.txt
A9MQR6,2.1.1.33,A9MQR6.txt
Q8Z3U1,2.1.1.33,Q8Z3U1.txt
A8GJ47,2.1.1.33,A8GJ47.txt
A3D707,2.1.1.33,A3D707.txt
Q12KQ0,2.1.1.33,Q12KQ0.txt
Q8EBX8,2.1.1.33,Q8EBX8.txt
B8CS82,2.1.1.33,B8CS82.txt
Q0HL06,2.1.1.33,Q0HL06.txt
B1KIW4,2.1.1.33,B1KIW4.txt
Q0T0S8,2.1.1.33,Q0T0S8.txt
A6U5H7,2.1.1.33,A6U5H7.txt
A7X3I5,2.1.1.33,A7X3I5.txt
Q2FXI2,2.1.1.33,Q2FXI2.txt
Q9KWZ4,2.1.1.33,Q9KWZ4.txt
P67501,2.1.1.33,P67501.txt
A8Z4H5,2.1.1.33,A8Z4H5.txt
Q5HNG2,2.1.1.33,Q5HNG2.txt
Q49YH9,2.1.1.33,Q49YH9.txt
P67503,2.1.1.33,P67503.txt
C0M8F7,2.1.1.33,C0M8F7.txt
B4STS7,2.1.1.33,B4STS7.txt
P67504,2.1.1.33,P67504.txt
B5E261,2.1.1.33,B5E261.txt
Q8NZU4,2.1.1.33,Q8NZU4.txt
Q1JFF9,2.1.1.33,Q1JFF9.txt
B1IA75,2.1.1.33,B1IA75.txt
P67506,2.1.1.33,P67506.txt
B5XHV8,2.1.1.33,B5XHV8.txt
C0MDZ0,2.1.1.33,C0MDZ0.txt
Q5LYG9,2.1.1.33,Q5LYG9.txt
B9DVC2,2.1.1.33,B9DVC2.txt
C1CQ43,2.1.1.33,C1CQ43.txt
P72546,2.1.1.33,P72546.txt
Q5N2X5,2.1.1.33,Q5N2X5.txt
Q3AW35,2.1.1.33,Q3AW35.txt
Q9X027,2.1.1.33,Q9X027.txt
Q8DHH6,2.1.1.33,Q8DHH6.txt
O83477,2.1.1.33,O83477.txt
Q3M3Q5,2.1.1.33,Q3M3Q5.txt
B5ZB79,2.1.1.33,B5ZB79.txt
A5F9I8,2.1.1.33,A5F9I8.txt
C3LRX0,2.1.1.33,C3LRX0.txt
Q7MHI6,2.1.1.33,Q7MHI6.txt
Q8PHF4,2.1.1.33,Q8PHF4.txt
Q8P631,2.1.1.33,Q8P631.txt
Q6NU94,2.1.1.33,Q6NU94.txt
B0U509,2.1.1.33,B0U509.txt
B3LH81,2.1.1.33,B3LH81.txt
A1JPV4,2.1.1.33,A1JPV4.txt
Q8ZHE9,2.1.1.33,Q8ZHE9.txt
Q666M5,2.1.1.33,Q666M5.txt
Q9UZR7,2.1.1.35,Q9UZR7.txt
Q8IZ69,2.1.1.35,Q8IZ69.txt
Q96GJ1,2.1.1.35,Q96GJ1.txt
P33753,2.1.1.35,P33753.txt
B7I4Y4,2.1.1.35,B7I4Y4.txt
A3M4W0,2.1.1.35,A3M4W0.txt
B3GZC6,2.1.1.35,B3GZC6.txt
A0KQR3,2.1.1.35,A0KQR3.txt
A8EWU8,2.1.1.35,A8EWU8.txt
B6ENT4,2.1.1.35,B6ENT4.txt
A1K524,2.1.1.35,A1K524.txt
A7GY40,2.1.1.35,A7GY40.txt
A8FLP0,2.1.1.35,A8FLP0.txt
A1VZH5,2.1.1.35,A1VZH5.txt
B3PJ74,2.1.1.35,B3PJ74.txt
Q48A12,2.1.1.35,Q48A12.txt
C6CG41,2.1.1.35,C6CG41.txt
B7UNU5,2.1.1.35,B7UNU5.txt
Q8X723,2.1.1.35,Q8X723.txt
B7MR93,2.1.1.35,B7MR93.txt
C6UJK3,2.1.1.35,C6UJK3.txt
A8A773,2.1.1.35,A8A773.txt
Q8CXW3,2.1.1.35,Q8CXW3.txt
B7NFR5,2.1.1.35,B7NFR5.txt
Q1R3U2,2.1.1.35,Q1R3U2.txt
B2VGA5,2.1.1.35,B2VGA5.txt
Q7U339,2.1.1.35,Q7U339.txt
P31812,2.1.1.35,P31812.txt
B0UVN9,2.1.1.35,B0UVN9.txt
B5XZ11,2.1.1.35,B5XZ11.txt
A6W3C7,2.1.1.35,A6W3C7.txt
Q5F757,2.1.1.35,Q5F757.txt
A9M1Q1,2.1.1.35,A9M1Q1.txt
A1KV88,2.1.1.35,A1KV88.txt
Q6CZB4,2.1.1.35,Q6CZB4.txt
Q6LLU2,2.1.1.35,Q6LLU2.txt
