name,smile
secologanin,COC(=O)C1=CO[C@H]([C@@H]([C@@H]1CC=O)C=C)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O
 pseudobaptigenin,C1OC2=C(O1)C=C(C=C2)C3=COC4=C(C3=O)C=CC(=C4)O
pratensein,COC1=C(C=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O)O
 5-hydroxypseudobaptigenin,C1OC2=C(O1)C=C(C=C2)C3=COC4=CC(=CC(=C4C3=O)O)O
(S)-cheilanthifoline,COC1=C(C=C2[C@@H]3CC4=C(CN3CCC2=C1)C5=C(C=C4)OCO5)O
 (S)-stylopine,C1CN2CC3=C(C[C@H]2C4=CC5=C(C=C41)OCO5)C=CC6=C3OCO6
(S)-scoulerine,COC1=C(C2=C(C[C@H]3C4=CC(=C(C=C4CCN3C2)OC)O)C=C1)O
 (S)-cheilanthifoline,COC1=C(C=C2[C@@H]3CC4=C(CN3CCC2=C1)C5=C(C=C4)OCO5)O
(R)-N-methylcoclaurine,CN1CCC2=CC(=C(C=C2[C@H]1CC3=CC=C(C=C3)O)O)OC
berbamunine,CN1CCC2=CC(=C(C=C2[C@@H]1CC3=CC=C(C=C3)OC4=C(C=CC(=C4)C[C@@H]5C6=CC(=C(C=C6CCN5C)OC)O)O)O)OC
(R)-reticuline,CN1CCC2=CC(=C(C=C2[C@H]1CC3=CC(=C(C=C3)OC)O)O)OC
 salutaridine,CN1CC[C@]23C=C(C(=O)C=C2[C@H]1CC4=C3C(=C(C=C4)OC)O)OC
(S)-tetrahydrocolumbamine,COC1=C(C2=C(C[C@H]3C4=CC(=C(C=C4CCN3C2)OC)O)C=C1)OC
(S)-canadine,COC1=C(C2=C(C[C@H]3C4=CC5=C(C=C4CCN3C2)OCO5)C=C1)OC
flaviolin,C1=C(C=C(C2=C1C(=O)C(=O)C=C2O)O)O
" 3,3'-biflaviolin",C1=C(C=C(C2=C1C(=O)C(=O)C(=C2O)C3=C(C4=C(C=C(C=C4O)O)C(=O)C3=O)O)O)O
" 3,8'-biflaviolin",C1=C(C=C(C2=C1C(=O)C(=O)C(=C2O)C3=C(C=C(C4=C3C(=O)C(=O)C=C4O)O)O)O)O
cyclo(L-tyrosyl-L-tyrosyl),C1=CC(=CC=C1C[C@H]2C(=O)N[C@H](C(=O)N2)CC3=CC=C(C=C3)O)O
mycocyclosin,C1[C@H]2C(=O)N[C@@H](CC3=CC(=C(C=C3)O)C4=C(C=CC1=C4)O)C(=O)N2
tryprostatin A,CC(=CCC1=C(C2=C(N1)C=C(C=C2)OC)C[C@H]3C(=O)N4CCC[C@H]4C(=O)N3)C
 fumitremorgin C,CC(=C[C@H]1C2=C(C[C@@H]3N1C(=O)[C@@H]4CCCN4C3=O)C5=C(N2)C=C(C=C5)OC)C
 (-)-pluviatolide,COC1=C(C=CC(=C1)C[C@@H]2[C@H](COC2=O)CC3=CC4=C(C=C3)OCO4)O
 (S)-nandinine,COC1=C(C2=C(C[C@H]3C4=CC5=C(C=C4CCN3C2)OCO5)C=C1)O
(+)-pinoresinol,COC1=C(C=CC(=C1)[C@@H]2[C@H]3CO[C@@H]([C@H]3CO2)C4=CC(=C(C=C4)O)OC)O
 (+)-piperitol,COC1=C(C=CC(=C1)[C@@H]2[C@H]3CO[C@@H]([C@H]3CO2)C4=CC5=C(C=C4)OCO5)O
(+)-piperitol,COC1=C(C=CC(=C1)[C@@H]2[C@H]3CO[C@@H]([C@H]3CO2)C4=CC5=C(C=C4)OCO5)O
 (+)-sesamin,C1[C@H]2[C@H](CO[C@@H]2C3=CC4=C(C=C3)OCO4)[C@H](O1)C5=CC6=C(C=C5)OCO6
 pentalenolactone,C[C@H]1[C@H]2C=C([C@H]3[C@]2(C=C1C)[C@@]4(CO4)C(=O)OC3)C(=O)O
tryptophan,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N
penicillin N,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CCC[C@H](C(=O)O)N)C(=O)O)C
(2S)-3-(4-hydroxyphenyl)-2-isocyanopropanoate,[C-]#[N+][C@@H](CC1=CC=C(C=C1)O)C(=O)[O-]
 4-[(E)-2-isocyanoethenyl]phenol,[C-]#[N+]/C=C/C1=CC=C(C=C1)O
(2S)-3-(1H-indol-3-yl)-2-isocyanopropanoate,[C-]#[N+][C@@H](CC1=CNC2=CC=CC=C21)C(=O)[O-]
 3-[(Z)-2-isocyanoethenyl]-1H-indole,[C-]#[N+]/C=C\C1=CNC2=CC=CC=C21
 3-[(E)-2-isocyanoethenyl]-1H-indole,[C-]#[N+]/C=C/C1=CNC2=CC=CC=C21
scopolamine,CN1[C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4
hapalindole U,C[C@@]1(CC[C@H]2[C@H]([C@H]1[N+]#[C-])C3=CNC4=CC=CC(=C43)C2(C)C)C=C
hapalindole G,C[C@@]1([C@@H](C[C@H]2[C@H]([C@H]1[N+]#[C-])C3=CNC4=CC=CC(=C43)C2(C)C)Cl)C=C
12-epi-fischerindole U,C[C@]1(CC[C@H]2[C@H]([C@H]1[N+]#[C-])C3=C(C2(C)C)NC4=CC=CC=C43)C=C
 12-epi-fischerindole G,C[C@]1([C@@H](C[C@H]2[C@H]([C@H]1[N+]#[C-])C3=C(C2(C)C)NC4=CC=CC=C43)Cl)C=C
Cl- ,[Cl-]
"(3S,5S)-carbapenam-3-carboxylate",C1C[C@H](N2[C@@H]1CC2=O)C(=O)[O-]
 (5R)-carbapen-2-em-3-carboxylate,C1C=C(N2[C@H]1CC2=O)C(=O)O
guanidine,C(=N)(N)N
 (S)-1-pyrroline-5-carboxylate,C1C[C@H](N=C1)C(=O)O
 5-hydroxy-L-arginine,C(CC(N=C(N)N)O)[C@@H](C(=O)O)N
5-hydroxy-L-arginine,C(CC(N=C(N)N)O)[C@@H](C(=O)O)N
(S)-1-pyrroline-5-carboxylate,C1C[C@H](N=C1)C(=O)O
(-)-yatein,COC1=CC(=CC(=C1OC)OC)C[C@@H]2[C@H](COC2=O)CC3=CC4=C(C=C3)OCO4
(-)-deoxypodophyllotoxin,COC1=CC(=CC(=C1OC)OC)[C@H]2[C@@H]3[C@@H](CC4=CC5=C(C=C24)OCO5)COC3=O
 (2E)-3-(4-hydroxyphenyl)-2-isocyanoprop-2-enoate,[C-]#[N+]/C(=C/C1=CC=C(C=C1)[O-])/C(=O)O
prostaglandin H2,CCCCC[C@@H](/C=C/[C@H]1[C@H]2C[C@@H]([C@@H]1C/C=C\CCCC(=O)O)OO2)O
estradiol-17beta,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O
 6beta-hydroxyestradiol-17beta,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)C[C@H](C4=C3C=CC(=C4)O)O
11alpha-hydroxyprogesterone,CC(=O)[C@H]1CC[C@@H]2[C@@]1(C[C@H]([C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)O)C
4-methoxybenzoate,COC1=CC=C(C=C1)C(=O)[O-]
kynurenate,C1=CC=C2C(=C1)C(=O)C=C(N2)C(=O)O
" 7,8-dihydro-7,8-dihydroxykynurenate",C1=CC2=C(C(C1O)O)NC(=CC2=O)C(=O)O
"2,3-epoxyphylloquinone",C[C@@H](CCC[C@@H](C)CCC/C(=C/CC12C(=O)C3=CC=CC=C3C(=O)C1(O2)C)/C)CCCC(C)C
Latia luciferin,CC1=C(C(CCC1)(C)C)CC/C(=C/OC=O)/C
oxidized Latia luciferin,CC1=C(C(CCC1)(C)C)CCC(=O)C
20-hydroxyecdysone,C[C@]12CC[C@H]3C(=CC(=O)[C@H]4[C@@]3(C[C@@H]([C@@H](C4)O)O)C)[C@@]1(CC[C@@H]2[C@](C)([C@@H](CCC(C)(C)O)O)O)O
"pregna-4,9(11)-diene-3,20-dione",CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC=C3[C@H]2CCC4=CC(=O)CC[C@@]43C)C
" 9,11alpha-epoxypregn-4-ene-3,20-dione",CC(=O)[C@H]1CC[C@@H]2[C@@]1(C[C@@H]3[C@]4([C@H]2CCC5=CC(=O)CC[C@@]54C)O3)C
2-hydroxypyridine,C1=CC(=O)NC=C1
7-O-methylluteone,CC(=CCC1=C(C=C2C(=C1O)C(=O)C(=CO2)C3=C(C=C(C=C3)O)O)OC)C
thiophene-2-carbonyl-CoA,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)C4=CC=CS4)O
 5-hydroxythiophene-2-carbonyl-CoA,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)C4=CC=C(S4)O)O
25-hydroxycholesterol,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C
NH2OH,NO
"4,4'-diapolycopene",CC(=C/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C=C(C)C)\C)\C)/C)/C)C
"4,4'-diapolycopenedial ",C/C(=C\C=C\C=C(\C=C\C=C(\C=C\C=C(\C=O)/C)/C)/C)/C=C/C=C(/C=C/C=C(/C=O)\C)\C
(Z)-3-ureidoacrylate,C(=C\NC(=O)N)\C(=O)[O-]
(Z)-2-methylureidoacrylate,C/C(=C/NC(=O)N)/C(=O)[O-]
FMN-N5-oxide ,CC1=CC2=C(C=C1C)[N+](=C3C(=NC(=NC3=O)[O-])N2C[C@@H]([C@@H]([C@@H](COP(=O)([O-])[O-])O)O)O)[O-]
(+)-larreatricin,C[C@@H]1[C@@H]([C@@H](O[C@H]1C2=CC=C(C=C2)O)C3=CC=C(C=C3)O)C
(+)-3'-hydroxylarreatricin,C[C@H]1[C@H]([C@@H](O[C@H]1C2=CC=C(C=C2)O)C3=CC(=C(C=C3)O)O)C
delta-staphylobilin,CC1=C(/C(=C/C2=C(C(=C(N2)C(=O)C3=C(C(=C(N3)/C=C\4/C(=C(C(=O)N4)C)C=C)C)C=C)C)CCC(=O)O)/NC1=O)CCC(=O)O
beta-staphylobilin,CC1=C(/C(=C/C2=C(C(=C(N2)C(=O)C3=C(C(=C(N3)/C=C\4/C(=C(C(=O)N4)C=C)C)C=C)C)C)CCC(=O)O)/NC1=O)CCC(=O)O
hercynine,C[N+](C)(C)[C@@H](CC1=CN=CN1)C(=O)[O-]
gamma-L-glutamyl-L-cysteine,C(CC(=O)N[C@@H](CS)C(=O)O)[C@@H](C(=O)O)N
 gamma-L-glutamyl-S-(hercyn-2-yl)-L-cysteine S-oxide,C[N+](C)(C)[C@@H](CC1=CN=C(N1)S(=O)C[C@@H](C(=O)[O-])NC(=O)CC[C@@H](C(=O)[O-])[NH3+])C(=O)[O-]
S-(hercyn-2-yl)-L-cysteine S-oxide,C[N+](C)(C)[C@@H](CC1=CN=C(N1)S(=O)C[C@@H](C(=O)O)N)C(=O)O
S-(L-histidin-5-yl)-L-cysteine S-oxide ,C1=NC(=C(N1)C[C@@H](C(=O)O)N)S(=O)C[C@@H](C(=O)O)N
mycobilin a,CC\1=C(/C(=C/C2=C(C(=C(N2)C(=O)C3=C(C(=C(N3)C=O)C)C=C)C)CCC(=O)[O-])/N/C1=C\C4=NC(=O)C(=C4C)C=C)CCC(=O)[O-]
mycobilin b,CC\1=C(/C(=C/C2=C(C(=C(N2)C(=O)C3=C(C(=C(N3)C=O)C=C)C)C)CCC(=O)[O-])/N/C1=C\C4=NC(=O)C(=C4C=C)C)CCC(=O)[O-]
biliverdin-IX-delta,CC1C(=C(NC1=O)/C=C\2/C(=C(/C(=C/C3=N/C(=C\C4=NC(=O)C(=C4CCC(=O)O)C)/C(=C3C)CCC(=O)O)/N2)C=C)C)C=C
Fe2+ ,[Fe+2]
biliverdin-IX-beta,CC1=C(/C(=C/C2=C(C(=C(N2)/C=C\3/C(=C(/C(=C/C4=NC(=O)C(=C4C)C=C)/N3)C=C)C)C)CCC(=O)O)/NC1=O)CCC(=O)O
tryptamine,C1=CC=C2C(=C1)C(=CN2)CCN
4-hydroxytryptamine,C1=CC2=C(C(=C1)O)C(=CN2)CCN
cyclooctat-9-en-7-ol,C[C@@H]1CC[C@@H]2[C@@H]1C[C@]\3(CC[C@@H](/C3=C/C[C@]2(C)O)C(C)C)C
" cyclooctat-9-ene-5,7-diol",C[C@H]1C[C@@H]([C@H]2[C@H]1C[C@@]\3(CC[C@H](/C3=C/C[C@@]2(C)O)C(C)C)C)O
"cyclooctat-9-ene-5,7-diol",C[C@H]1C[C@@H]([C@H]2[C@H]1C[C@@]\3(CC[C@H](/C3=C/C[C@@]2(C)O)C(C)C)C)O
cyclooctatin,CC(C)C\1CCC2(/C1=C\CC(C3C(CC(C3C2)CO)O)(C)O)C
echinenone,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C2=C(C(=O)CCC2(C)C)C)/C)/C
canthaxanthin,CC1=C(C(CCC1=O)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C2=C(C(=O)CCC2(C)C)C)\C)\C)/C)/C
adonixanthin,CC1=C(C(C[C@@H](C1)O)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C2=C(C(=O)[C@H](CC2(C)C)O)C)/C)/C
"(3S,3'S)-astaxanthin",CC1=C(C(C[C@@H](C1=O)O)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C2=C(C(=O)[C@H](CC2(C)C)O)C)\C)\C)/C)/C
alpha-N-dichloroacetyl-p-aminophenylserinol,C1=CC(=CC=C1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)N
 chloramphenicol,C1=CC(=CC=C1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-]
4-nitrobenzoate,C1=CC(=CC=C1C(=O)[O-])[N+](=O)[O-]
Hg,[Hg]
Hg2+,[Hg+2]
cyanocob(III)alamin,CC1=CC2=C(C=C1C)N(C=N2)[C@@H]3[C@@H]([C@@H]([C@H](O3)CO)OP(=O)([O-])O[C@H](C)CNC(=O)CC[C@@]4([C@H]([C@@H]5[C@]6([C@@]([C@@H](/C(=C(/C7=N/C(=C\C8=N/C(=C(\C4=N5)/C)/[C@H](C8(C)C)CCC(=O)N)/[C@H]([C@]7(C)CC(=O)N)CCC(=O)N)\C)/[N-]6)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co+3]
 S-adenosyl-L-homocysteine,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CSCC[C@@H](C(=O)O)N)O)O)N
Fe(II),[Fe+2]
Fe(III),[Fe+3]
[FeO(OH)],[OH3+].[OH3+].[OH3+].[OH3+].O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3]
Mn2+,[Mn+2]
MnIVO2,O=[Mn]=O
Mn3+,[Mn+3]
Cu2+,[Cu+2]
ADP,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O)O)O)N
"CDP-4-dehydro-3,6-dideoxy-D-glucose",C[C@@H]1C(=O)C[C@H](C(O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=NC3=O)N)O)O)O
 CDP-4-dehydro-6-deoxy-D-glucose,C[C@@H]1C(=O)[C@@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=NC3=O)N)O)O)O)O
"(2R,3S)-catechin",C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O
"2,3-trans-3,4-cis-leucocyanidin",C1=CC(=C(C=C1[C@@H]2[C@H]([C@H](C3=C(C=C(C=C3O2)O)O)O)O)O)O
nicotinate,C1=CC(=CN=C1)C(=O)[O-]
"(S)-2,3,4,5-tetrahydropyridine-2,6-dicarboxylate",C1C[C@H](N=C(C1)C(=O)O)C(=O)O
" (2S,4S)-4-hydroxy-2,3,4,5-tetrahydrodipicolinate",C1[C@@H](CC(=N[C@@H]1C(=O)[O-])C(=O)[O-])O
lupanine,C1CCN2C[C@@H]3C[C@H]([C@@H]2C1)CN4[C@@H]3CCCC4=O
17-hydroxylupanine,C1CCN2[C@@H](C1)[C@H]3C[C@@H](C2O)[C@H]4CCCC(=O)N4C3
2-amino-4-hydroxypteridine,C1=CN=C2C(=N1)C(=O)NC(=N2)N
"2-amino-4,7-dihydroxypteridine",C1=NC2=C(NC1=O)N=C(NC2=O)N
"2,6-dihydroxynicotinate",C1=CC(=O)NC(=C1C(=O)O)O
juglone,C1=CC2=C(C(=O)C=CC2=O)C(=C1)O
"3,5-dihydroxy-1,4-naphthoquinone",C1=CC2=C(C(=C1)O)C(=O)C(=O)C=C2O
"naphthalene-1,2,4,8-tetrol",C1=CC2=C(C(=C1)O)C(=C(C=C2O)O)O
"3,5-dihydroxy-1,4-naphthoquinone ",C1=CC2=C(C(=C1)O)C(=O)C(=O)C=C2O
" 2,3-epoxyphylloquinone",C[C@@H](CCC[C@@H](C)CCC/C(=C/CC12C(=O)C3=CC=CC=C3C(=O)C1(O2)C)/C)CCCC(C)C
phylloquinol,CC1=C(C2=CC=CC=C2C(=C1C/C=C(\C)/CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O)O
"3-hydroxy-2-methyl-3-phytyl-2,3-dihydro-1,4-naphthoquinone",CC1C(=O)C2=CC=CC=C2C(=O)C1(C/C=C(\C)/CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O
" 1,4-dithiothreitol ",C(C(C(CS)O)O)S
phenylglyoxylyl-CoA,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)C(=O)C4=CC=CC=C4)O
(E)-4-hydroxy-3-methylbut-2-en-1-yl diphosphate,C/C(=C\COP(=O)(O)OP(=O)(O)O)/CO
"2-C-methyl-D-erythritol 2,4-cyclodiphosphate",C[C@@]1([C@@H](COP(=O)(OP(=O)(O1)O)O)O)CO
chlorophyll a,CCC1=C(C2=NC1=CC3=C(C4=C([N-]3)C(=C5[C@H]([C@@H](C(=N5)C=C6C(=C(C(=C2)[N-]6)C=C)C)C)CCC(=O)OC/C=C(\C)/CCC[C@H](C)CCC[C@H](C)CCCC(C)C)[C@H](C4=O)C(=O)OC)C)C.[Mg+2]
71-hydroxychlorophyll a,CCC1=C(C2=CC3=C(C(=C([N-]3)C=C4[C@H]([C@@H](C(=N4)C5=C6C(=C(C(=CC1=N2)[N-]6)C)C(=C5C(=O)OC)[O-])CCC(=O)OC/C=C(\C)/CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C)C)C=C)CO.[Mg+2]
isopentenyl diphosphate,CC(=C)CCOP(=O)(O)OP(=O)(O)O
dimethylallyl diphosphate,CC(=CCOP(=O)(O)OP(=O)(O)O)C
hydroxysqualene,CC(=CCC/C(=C/CC/C(=C/C[C@H](/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)O)/C)/C)C
4-hydroxybenzyl alcohol,C1=CC(=CC=C1CO)O
(+)-6-hydroxypinoresinol,COC1=C(C=CC(=C1)[C@@H]2[C@H]3CO[C@@]([C@H]3CO2)(C4=CC(=C(C=C4)O)OC)O)O
L-methionine,CSCC[C@@H](C(=O)O)N
 L-methionine,CSCC[C@@H](C(=O)O)N
5'-deoxyadenosine ,C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O
reduced coenzyme F420,C[C@@H](C(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O)OP(=O)(O)OC[C@H]([C@H]([C@H](CN1C2=C(CC3=C1NC(=O)NC3=O)C=CC(=C2)O)O)O)O
25-hydroxycholest-4-en-3-one,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C
ethylbenzene,CCC1=CC=CC=C1
"(25R)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-oyl-CoA",C[C@H](CCC[C@@H](C)C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)[C@H]4CC[C@@H]5[C@@]4([C@H](C[C@H]6[C@H]5[C@@H](C[C@H]7[C@@]6(CC[C@H](C7)O)C)O)O)C
barbiturate,C1C(=O)NC(=O)NC1=O
5-methylbarbiturate,CC1C(=O)NC(=O)NC1=O
(-)-perillyl alcohol,CC(=C)[C@H]1CCC(=CC1)CO
(+)-perillyl alcohol,CC(=C)[C@@H]1CCC(=CC1)CO
ferroheme o,CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C=C)C)[C@H](CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)O)C)C(=C3CCC(=O)O)C)CCC(=O)O.[Fe]
ferroheme a,CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)[C@H](CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)O)C)C=O)CCC(=O)O)C(=C3C)CCC(=O)O)C=C.[Fe+2]
ferroheme i,CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C=C)C)[C@H](CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)O)C)C(=C3CCC(=O)[O-])CO)CCC(=O)[O-].[Fe]
hydroxyferroheme i,CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C=C)C)[C@H](CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)O)C)C(=C3CCC(=O)[O-])C(O)O)CCC(=O)[O-].[Fe]
N2,N#N
 H2,[HH]
acetyl-CoA,CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
5-formyl-3-hydroxy-2-methylpyridine-4-carboxylate,CC1=NC=C(C(=C1[O-])C(=O)O)C=O
" 3-hydroxy-2-methylpyridine-4,5-dicarboxylate",CC1=NC=C(C(=C1O)C(=O)O)C(=O)O
L-tyrosinal,C1=CC(=CC=C1C[C@@H](C=O)N)O
ATP ,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N
5-pyridoxate,CC1=NC=C(C(=C1[O-])CO)C(=O)O
 phosphate,[O-]P(=O)([O-])[O-]
succinyl-CoA,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)CCC(=O)O)O
 1-arsono-3-phospho-D-glycerate,C([C@H](C(=O)O[As](=O)([O-])[O-])O)OP(=O)([O-])[O-]
L-4-aspartyl phosphate ,C([C@@H](C(=O)O)N)C(=O)OP(=O)(O)O
 3-phospho-D-glyceroyl phosphate,C([C@H](C(=O)OP(=O)(O)O)O)OP(=O)(O)O
malonate,C(C(=O)[O-])C(=O)[O-]
oxalyl-CoA,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)C(=O)O)O
4-aminobutanal,C(CC=O)CN
4-aminobutanoate,C(CC(=O)O)CN
5-oxopentanoate,C(CC=O)CC(=O)[O-]
2-methylpropanoyl-CoA,CC(C)C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
 NADH ,C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O
"2,5-dioxopentanoate",C(CC(=O)C(=O)[O-])C=O
propanoyl-CoA,CCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
benzaldehyde,C1=CC=C(C=C1)C=O
(S)-2-amino-6-oxohexanoate,C(CC=O)C[C@@H](C(=O)O)N
L-2-aminoadipate,C(C[C@@H](C(=O)O)N)CC(=O)O
2-aminomuconate 6-semialdehyde,C(=C\C=O)\C=C(/C(=O)O)\N
2-aminomuconate,C(=C/C(=O)[O-])\C=C(\C(=O)[O-])/N
retinoate,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C
N-acetyl-L-glutamate 5-semialdehyde,CC(=O)N[C@@H](CCC=O)C(=O)O
 N-acetyl-L-glutamyl 5-phosphate,CC(=O)N[C@@H](CCC(=O)OP(=O)(O)O)C(=O)O
phenylacetaldehyde,C1=CC=C(C=C1)CC=O
L-glutamyl 5-phosphate,C(CC(=O)OP(=O)(O)O)[C@@H](C(=O)O)N
L-glutamate 5-semialdehyde,C(C[C@@H](C(=O)O)N)C=O
hexadecanoyl-CoA,CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
cinnamoyl-CoA,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)/C=C/C4=CC=CC=C4)O
4-trimethylammoniobutanal,C[N+](C)(C)CCCC=O
4-hydroxyphenylacetaldehyde,C1=CC(=CC=C1CC=O)O
4-guanidinobutanal,C(CC=O)CN=C(N)N
4-guanidinobutanoate,C(CC(=O)O)CN=C(N)N
butanoyl-CoA,CCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
