index,EC,reaction,smiles,fully_covered
1089,1.14.14.134,beta-amyrin + [reduced NADPH-hemoprotein reductase] + O2 =  24-hydroxy-beta-amyrin + [oxidized NADPH-hemoprotein reductase] + H2O,C[C@@]12CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]1CC(CC2)(C)C)C + O=O = C[C@@]12CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H]([C@]5(C)CO)O)C)C)[C@@H]1CC(CC2)(C)C)C + O,0
1090,1.14.14.134,sophoradiol + [reduced NADPH-hemoprotein reductase] + O2 =  24-hydroxysophoradiol + [oxidized NADPH-hemoprotein reductase] + H2O ,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(C[C@H]5O)(C)C)C)C)C)(C)C)O + O=O = C[C@]12CC[C@@H]([C@]([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(C[C@H]5O)(C)C)C)C)C)(C)CO)O + O,0
1091,1.14.14.135,"2-dimethylallyl-(6aS,11aS)-3,6a,9-trihydroxypterocarpan + [reduced  NADPH-hemoprotein reductase] + O2 = glyceollin II + [oxidized  NADPH-hemoprotein reductase] + 2 H2O",CC(=CCC1=CC2=C(C=C1O)OC[C@@]3([C@H]2OC4=C3C=CC(=C4)O)O)C + O=O = CC1(C=CC2=CC3=C(C=C2O1)OC[C@@]4([C@H]3OC5=C4C=CC(=C5)O)O)C + 2 O,0
1092,1.14.14.135,"2-dimethylallyl-(6aS,11aS)-3,6a,9-trihydroxypterocarpan + [reduced  NADPH-hemoprotein reductase] + O2 = glyceollin III + [oxidized  NADPH-hemoprotein reductase] + 2 H2O",CC(=CCC1=CC2=C(C=C1O)OC[C@@]3([C@H]2OC4=C3C=CC(=C4)O)O)C + O=O = CC(=C)[C@@H]1CC2=CC3=C(C=C2O1)OC[C@@]4([C@H]3OC5=C4C=CC(=C5)O)O + 2 O,0
1093,1.14.14.135,"4-dimethylallyl-(6aS,11aS)-3,6a,9-trihydroxypterocarpan + [reduced  NADPH-hemoprotein reductase] + O2 = glyceollin I + [oxidized  NADPH-hemoprotein reductase] + 2 H2O ",CC(=CCC1=C(C=CC2=C1OC[C@@]3([C@H]2OC4=C3C=CC(=C4)O)O)O)C + O=O = CC1(C=CC2=C(O1)C=CC3=C2OC[C@@]4([C@H]3OC5=C4C=CC(=C5)O)O)C + 2 O,0
1094,1.14.14.136,10-deoxysarpagine + [reduced NADPH-hemoprotein reductase] + O2 =  sarpagine + [oxidized NADPH-hemoprotein reductase] + H2O ,C/C=C\1/CN2[C@H]3C[C@@H]1C([C@@H]2CC4=C3NC5=CC=CC=C45)CO + O=O = C/C=C\1/CN2[C@H]3C[C@@H]1[C@H]([C@@H]2CC4=C3NC5=C4C=C(C=C5)O)CO + O,0
1095,1.14.14.137,(+)-abscisate + [reduced NADPH-hemoprotein reductase] + O2 =  8'-hydroxyabscisate + [oxidized NADPH-hemoprotein reductase] + H2O ,CC1=CC(=O)CC([C@]1(/C=C/C(=C\C(=O)[O-])/C)O)(C)C + O=O = CC1=CC(=O)C[C@]([C@]1(/C=C/C(=C\C(=O)O)/C)O)(C)CO + O,0
1096,1.14.14.138,lithocholate + [reduced NADPH-hemoprotein reductase] + O2 =  6beta-hydroxylithocholate + [oxidized NADPH-hemoprotein reductase] + H2O ,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)C + O=O = C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C[C@H]([C@H]4[C@@]3(CC[C@H](C4)O)C)O)C + O,0
1097,1.14.14.139,"5beta-cholestane-3alpha,7alpha-diol + [reduced NADPH-hemoprotein  reductase] + O2 = 5beta-cholestane-3alpha,7alpha,12alpha-triol +  [oxidized NADPH-hemoprotein reductase] + H2O",C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C + O=O = C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C + O,0
1098,1.14.14.139,"7alpha-hydroxycholest-4-en-3-one + [reduced NADPH-hemoprotein  reductase] + O2 = 7alpha,12alpha-dihydroxycholest-4-en-3-one +  [oxidized NADPH-hemoprotein reductase] + H2O",C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](CC4=CC(=O)CC[C@]34C)O)C + O=O = C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](CC4=CC(=O)CC[C@]34C)O)O)C + O,0
1099,1.14.14.139,chenodeoxycholate + [reduced NADPH-hemoprotein reductase] + O2 =  cholate + [oxidized NADPH-hemoprotein reductase] + H2O ,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C + O=O = C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C + O,0
1100,1.14.14.14,testosterone + 3 O2 + 3 [reduced NADPH-hemoprotein reductase] =  17beta-estradiol + formate + 4 H2O + 3 [oxidized NADPH-hemoprotein  reductase],C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C + 3 O=O + 3  = C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O + C(=O)[O-] + 4 O + 3 ,0
1101,1.14.14.14,testosterone + O2 + [reduced NADPH-hemoprotein reductase] =  19-hydroxytestosterone + H2O + [oxidized NADPH-hemoprotein reductase],C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C + O=O = C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34CO + O,0
1102,1.14.14.14,19-hydroxytestosterone + O2 + [reduced NADPH-hemoprotein reductase] =  19-oxotestosterone + 2 H2O + [oxidized NADPH-hemoprotein reductase],C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34CO + O=O = C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C=O + 2 O,0
1103,1.14.14.14,19-oxotestosterone + O2 + [reduced NADPH-hemoprotein reductase] =  17beta-estradiol + formate + H2O + [oxidized NADPH-hemoprotein  reductase],C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C=O + O=O = C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O + C(=O)[O-] + O,0
1104,1.14.14.14,"androst-4-ene-3,17-dione + 3 O2 + 3 [reduced NADPH-hemoprotein  reductase] = estrone + formate + 4 H2O + 3 [oxidized NADPH-hemoprotein  reductase]",C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C + 3 O=O + 3  = C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)O + C(=O)[O-] + 4 O + 3 ,0
1105,1.14.14.14,"androst-4-ene-3,17-dione + O2 + [reduced NADPH-hemoprotein reductase] =  19-hydroxyandrost-4-ene-3,17-dione + H2O + [oxidized NADPH-hemoprotein  reductase]",C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C + O=O = C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=CC(=O)CC[C@]34CO + O,0
1106,1.14.14.14,"19-hydroxyandrost-4-ene-3,17-dione + O2 + [reduced NADPH-hemoprotein  reductase] = 19-oxo-androst-4-ene-3,17-dione + 2 H2O + [oxidized  NADPH-hemoprotein reductase]",C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=CC(=O)CC[C@]34CO + O=O = C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=CC(=O)CC[C@]34C=O + 2 O,0
1107,1.14.14.14,"19-oxoandrost-4-ene-3,17-dione + O2 + [reduced NADPH-hemoprotein  reductase] = estrone + formate + H2O + [oxidized NADPH-hemoprotein  reductase] ",C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=CC(=O)CC[C@]34C=O + O=O = C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)O + C(=O)[O-] + O,0
1108,1.14.14.141,(+)-marmesin + [reduced NADPH-hemoprotein reductase] + O2 = psoralen +  [oxidized NADPH-hemoprotein reductase] + acetone + 2 H2O,CC(C)([C@@H]1CC2=C(O1)C=C3C(=C2)C=CC(=O)O3)O + O=O = C1=CC(=O)OC2=CC3=C(C=CO3)C=C21 + CC(=O)C + 2 O,0
1109,1.14.14.142,sophoraflavanone B + [reduced NADPH-hemoprotein reductase] + O2 =  leachianone G + [oxidized NADPH-hemoprotein reductase] + H2O ,CC(=CCC1=C2C(=C(C=C1O)O)C(=O)C[C@H](O=O)C3=CC=C(C=C3)O)C + O=O = CC(=CCC1=C2C(=C(C=C1O)O)C(=O)C[C@H](O=O)C3=C(C=C(C=C3)O)O)C + O,0
1110,1.14.14.143,(+)-pulegone + [reduced NADPH-hemoprotein reductase] + O2 =  (+)-menthofuran + [oxidized NADPH-hemoprotein reductase] + H2O ,C[C@@H]1CCC(=C(C)C)C(=O)C1 + O=O = C[C@@H]1CCC2=C(C1)OC=C2C + O,0
1111,1.14.14.144,"abieta-7,13-diene + [reduced NADPH-hemoprotein reductase] + O2 =  abieta-7,13-dien-18-ol + [oxidized NADPH-hemoprotein reductase] + H2O ",CC(C)C1=CC2=CC[C@@H]3[C@@]([C@H]2CC1)(CCCC3(C)C)C + O=O = CC(C)C1=CC2=CC[C@H]3[C@](CCC[C@@]3([C@H]2CC1)C)(C)CO + O,0
1112,1.14.14.145,"abieta-7,13-dien-18-ol + 2 [reduced NADPH-hemoprotein reductase] + 2 O2  = abieta-7,13-dien-18-oate + 2 [oxidized NADPH-hemoprotein reductase] +  3 H2O",CC(C)C1=CC2=CC[C@H]3[C@](CCC[C@@]3([C@H]2CC1)C)(C)CO + 2 2 O=O = CC(C)C1=CC2=CC[C@@H]3[C@@]([C@H]2CC1)(CCC[C@@]3(C)C(=O)O)C + 2 ,0
1113,1.14.14.145,"abieta-7,13-dien-18-ol + [reduced NADPH-hemoprotein reductase] + O2 =  abieta-7,13-dien-18,18-diol + [oxidized NADPH-hemoprotein reductase] +  H2O",CC(C)C1=CC2=CC[C@H]3[C@](CCC[C@@]3([C@H]2CC1)C)(C)CO + O=O = CC(C)C1=CC2=CC[C@@H]3[C@@]([C@H]2CC1)(CCC[C@@]3(C)C(O)O)C + O,0
1114,1.14.14.145,"abieta-7,13-dien-18,18-diol = abieta-7,13-dien-18-al + H2O",CC(C)C1=CC2=CC[C@@H]3[C@@]([C@H]2CC1)(CCC[C@@]3(C)C(O)O)C = CC(C)C1=CC2=CC[C@H]3[C@](CCC[C@@]3([C@H]2CC1)C)(C)C=O + O,1
1115,1.14.14.145,"abieta-7,13-dien-18-al + [reduced NADPH-hemoprotein reductase] + O2 =  abieta-7,13-dien-18-oate + [oxidized NADPH-hemoprotein reductase] + H2O ",CC(C)C1=CC2=CC[C@H]3[C@](CCC[C@@]3([C@H]2CC1)C)(C)C=O + O=O = CC(C)C1=CC2=CC[C@@H]3[C@@]([C@H]2CC1)(CCC[C@@]3(C)C(=O)O)C + O,0
1116,1.14.14.146,geranylgeraniol + [reduced NADPH-hemoprotein reductase] + O2 =  18-hydroxygeranylgeraniol + [oxidized NADPH-hemoprotein reductase] + H2O ,CC(=CCC/C(=C/CC/C(=C/CC/C(=C/CO)/C)/C)/C)C + O=O = CC(=CCC/C(=C/CC/C(=C/CC/C(=C/CO)/C)/CO)/C)C + O,0
1117,1.14.14.147,3-epi-6-deoxocathasterone + [reduced NADPH-hemoprotein reductase] + O2  = 6-deoxotyphasterol + [oxidized NADPH-hemoprotein reductase] + H2O,C[C@H](C[C@@H]([C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@H](C4)O)C)C)O)C(C)C + O=O = C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@H](C4)O)C)C)[C@H]([C@@H]([C@@H](C)C(C)C)O)O + O,0
1118,1.14.14.147,"(22S,24R)-22-hydroxy-5alpha-ergostan-3-one + [reduced NADPH-hemoprotein  reductase] + O2 = 3-dehydro-6-deoxoteasterone + [oxidized  NADPH-hemoprotein reductase] + H2O ",C[C@H](C[C@@H]([C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CCC(=O)C4)C)C)O)C(C)C + O=O = C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CCC(=O)C4)C)C)[C@H]([C@@H]([C@@H](C)C(C)C)O)O + O,0
1119,1.14.14.148,(+)-columbianetin + [reduced NADPH-hemoprotein reductase] + O2 =  angelicin + [oxidized NADPH-hemoprotein reductase] + acetone + 2 H2O ,CC(C)([C@@H]1CC2=C(O1)C=CC3=C2OC(=O)C=C3)O + O=O = C1=CC2=C(C=CO=O)C3=C1C=CC(=O)O3 + CC(=O)C + 2 O,0
1120,1.14.14.149,5-epiaristolochene + 2 [reduced NADPH-hemoprotein reductase] + 2 O2 =  capsidiol + 2 [oxidized NADPH-hemoprotein reductase] + 2 H2O ,C[C@@H]1CCCC2=CC[C@H](C[C@]12C)C(=C)C + 2 2 O=O = C[C@@H]1[C@@H](C[C@H](C2=CC[C@H](C[C@]12C)C(=C)C)O)O + 2 2 O,0
1121,1.14.14.15,(3S)-3-amino-3-(3-chloro-4-hydroxyphenyl)propanoyl-[peptidyl-carrier  protein SgcC2] + FADH2 + O2 =  (3S)-3-amino-3-(3-chloro-4  5-dihydroxyphenyl)propanoyl-[peptidyl-carrier protein SgcC2] + FAD + H2O ,CC1=CC2=C(C=C1C)N(C3=C(N2)C(=O)NC(=O)N3)C[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]4[C@H]([C@H]([C@@H](O4)N5C=NC6=C(N=CN=C65)N)O)O)O)O)O + O=O = CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]4[C@H]([C@H]([C@@H](O4)N5C=NC6=C(N=CN=C65)N)O)O)O)O)O + O,0
1122,1.14.14.150,"germacra-1(10),4,11(13)-trien-12-oate + [reduced NADPH-hemoprotein  reductase] + O2 = (+)-costunolide + [oxidized NADPH-hemoprotein  reductase] + 2 H2O",C/C/1=C\CC/C(=C/C[C@@H](CC1)C(=C)C(=O)[O-])/C + O=O = C/C/1=C\CC/C(=C/[C@@H]2[C@@H](CC1)C(=C)C(=O)O=O)/C + 2 O,0
1123,1.14.14.150,"germacra-1(10),4,11(13)-trien-12-oate + [reduced NADPH-hemoprotein  reductase] + O2 = 6alpha-hydroxygermacra-1(10),4,11(13)-trien-12-oate +  [oxidized NADPH-hemoprotein reductase] + H2O",C/C/1=C\CC/C(=C/C[C@@H](CC1)C(=C)C(=O)[O-])/C + O=O = C/C/1=C\CC/C(=C/[C@H]([C@@H](CC1)C(=C)C(=O)[O-])O)/C + O,0
1124,1.14.14.150,"6alpha-hydroxygermacra-1(10),4,11(13)-trien-12-oate = (+)-costunolide +  H2O ",C/C/1=C\CC/C(=C/[C@H]([C@@H](CC1)C(=C)C(=O)[O-])O)/C = C/C/1=C\CC/C(=C/[C@@H]2[C@@H](CC1)C(=C)C(=O)O2)/C + O,1
1125,1.14.14.151,(-)-vetispiradiene + [reduced NADPH-hemoprotein reductase] + O2 =  solavetivol + [oxidized NADPH-hemoprotein reductase] + H2O,C[C@@H]1CCC=C([C@]12CC[C@H](C2)C(=C)C)C + O=O = C[C@@H]1C[C@@H](C=C([C@]12CC[C@H](C2)C(=C)C)C)O + O,0
1126,1.14.14.151,solavetivol + [reduced NADPH-hemoprotein reductase] + O2 = solavetivone  + [oxidized NADPH-hemoprotein reductase] + 2 H2O,C[C@@H]1C[C@@H](C=C([C@]12CC[C@H](C2)C(=C)C)C)O + O=O = C[C@@H]1CC(=O)C=C([C@]12CC[C@H](C2)C(=C)C)C + 2 O,0
1127,1.14.14.151,(-)-vetispiradiene + 2 [reduced NADPH-hemoprotein reductase] + 2 O2 =  solavetivone + 2 [oxidized NADPH-hemoprotein reductase] + 3 H2O ,C[C@@H]1CCC=C([C@]12CC[C@H](C2)C(=C)C)C + 2 2 O=O = C[C@@H]1CC(=O)C=C([C@]12CC[C@H](C2)C(=C)C)C + 2 3 O,0
1128,1.14.14.152,beta-amyrin + 2 [reduced NADPH-hemoprotein reductase] + 2 O2 =  11-oxo-beta-amyrin + 2 [oxidized NADPH-hemoprotein reductase] + 3 H2O,C[C@@]12CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]1CC(CC2)(C)C)C + 2 2 O=O = C[C@@]12CC[C@@]3(C(=CC(=O)[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]1CC(CC2)(C)C)C + 2 3 O,0
1129,1.14.14.152,beta-amyrin + [reduced NADPH-hemoprotein reductase] + O2 =  11alpha-hydroxy-beta-amyrin + [oxidized NADPH-hemoprotein reductase] +  H2O,C[C@@]12CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]1CC(CC2)(C)C)C + O=O = C[C@@]12CC[C@@]3(C(=C[C@H]([C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)O)[C@@H]1CC(CC2)(C)C)C + O,0
1130,1.14.14.152,11alpha-hydroxy-beta-amyrin + [reduced NADPH-hemoprotein reductase] +  O2 = 11-oxo-beta-amyrin + [oxidized NADPH-hemoprotein reductase] + 2 H2O ,C[C@@]12CC[C@@]3(C(=C[C@H]([C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)O)[C@@H]1CC(CC2)(C)C)C + O=O = C[C@@]12CC[C@@]3(C(=CC(=O)[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]1CC(CC2)(C)C)C + 2 O,0
1131,1.14.14.153,indole + [reduced NADPH-hemoprotein reductase] + O2 = indolin-2-one +  [oxidized NADPH-hemoprotein reductase] + H2O ,C1=CC=C2C(=C1)C=CN2 + O=O = C1C2=CC=CC=C2NC1=O + O,0
1132,1.14.14.154,a 14alpha-methylsteroid + 3 [reduced NADPH-hemoprotein reductase] + 3  O2 = a DELTA14-steroid + formate + 3 [oxidized NADPH-hemoprotein  reductase] + 4 H2O,3 3 O=O = C(=O)[O-] + 3 4 O,0
1133,1.14.14.154,a 14alpha-methylsteroid + [reduced NADPH-hemoprotein reductase] + O2 =  a 14alpha-hydroxymethylsteroid + [oxidized NADPH-hemoprotein reductase]  + H2O, + O=O =  + O,0
1134,1.14.14.154,a 14alpha-hydroxymethylsteroid + [reduced NADPH-hemoprotein reductase]  + O2 = a 14alpha-formylsteroid + [oxidized NADPH-hemoprotein reductase]  + 2 H2O, + O=O =  + 2 O,0
1135,1.14.14.154,a 14alpha-formylsteroid + [reduced NADPH-hemoprotein reductase] + O2 =  a DELTA14-steroid + formate + [oxidized NADPH-hemoprotein reductase] +  H2O , + O=O = C(=O)[O-] + O,0
1136,1.14.14.155,"(-)-bornane-2,5-dione + reduced rubredoxin + O2 + FMNH2 =  (-)-5-oxo-1,2-campholide + FMN + H2O",CC1(C2CC(=O)C1(CC2=O)C)C + O=O + CC1=CC2=C(C=C1C)N(C3=C(N2)C(=O)NC(=O)N3)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O = C[C@@]12CC(=O)[C@@H](C1(C)C)CC(=O)O=O + CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O + O,0
1137,1.14.14.155,"(-)-bornane-2,5-dione + O2 + FMNH2 = (-)-5-oxo-1,2-campholide + FMN +  H2O ",CC1(C2CC(=O)C1(CC2=O)C)C + O=O + CC1=CC2=C(C=C1C)N(C3=C(N2)C(=O)NC(=O)N3)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O = C[C@@]12CC(=O)[C@@H](C1(C)C)CC(=O)O=O + CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O + O,1
1138,1.14.14.156,L-tryptophan + 2 [reduced NADPH-hemoprotein reductase] + 2 O2 =  (E)-indol-3-ylacetaldoxime + 2 [oxidized NADPH-hemoprotein reductase] +  CO2 + 3 H2O,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N + 2 2 O=O = C1=CC=C2C(=C1)C(=CN2)C/C=N/O + 2 C(=O)=O + 3 O,0
1139,1.14.14.156,L-tryptophan + [reduced NADPH-hemoprotein reductase] + O2 =  N-hydroxy-L-tryptophan + [oxidized NADPH-hemoprotein reductase] + H2O,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N + O=O = C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)NO + O,0
1140,1.14.14.156,"N-hydroxy-L-tryptophan + [reduced NADPH-hemoprotein reductase] + O2 =  N,N-dihydroxy-L-tryptophan + [oxidized NADPH-hemoprotein reductase] +  H2O",C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)NO + O=O = C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N(O)O + O,0
1141,1.14.14.156,"N,N-dihydroxy-L-tryptophan = (E)-indol-3-ylacetaldoxime + CO2 + H2O ",C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N(O)O = C1=CC=C2C(=C1)C(=CN2)C/C=N/O + C(=O)=O + O,1
1142,1.14.14.157,indolin-2-one + [reduced NADPH-hemoprotein reductase] + O2 =  3-hydroxyindolin-2-one + [oxidized NADPH-hemoprotein reductase] + H2O ,C1C2=CC=CC=C2NC1=O + O=O = C1=CC=C2C(=C1)C(C(=O)N2)O + O,0
1143,1.14.14.158,alpha-carotene + [reduced NADPH-hemoprotein reductase] + O2 =  alpha-cryptoxanthin + [oxidized NADPH-hemoprotein reductase] + H2O,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/[C@H]2C(=CCCC2(C)C)C)/C)/C + O=O =  + O,0
1144,1.14.14.158,zeinoxanthin + [reduced NADPH-hemoprotein reductase] + O2 = lutein +  [oxidized NADPH-hemoprotein reductase] + H2O ,CC1=C(C(C[C@@H](C1)O)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/[C@H]2C(=CCCC2(C)C)C)/C)/C + O=O = CC1=C(C(C[C@@H](C1)O)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/[C@H]2C(=C[C@@H](CC2(C)C)O)C)/C)/C + O,0
1145,1.14.14.159,"dolabradiene + O2 + [reduced NADPH-hemoprotein reductase] =  15,16-epoxydolabrene + H2O + [oxidized NADPH-hemoprotein reductase]",C[C@@]1(CC[C@@]2([C@@H](C1)CC[C@]3([C@H]2CCCC3=C)C)C)C=C + O=O = C[C@@]1(CC[C@@]2([C@@H](C1)CC[C@]3([C@H]2CCCC3=C)C)C)C4CO4 + O,0
1146,1.14.14.159,"15,16-epoxydolabrene + O2 + [reduced NADPH-hemoprotein reductase] =  3beta-hydroxy-15,16-epoxydolabrene + H2O + [oxidized NADPH-hemoprotein  reductase] ",C[C@@]1(CC[C@@]2([C@@H](C1)CC[C@]3([C@H]2CCCC3=C)C)C)C4CO4 + O=O = C[C@@]1(CC[C@@]2([C@@H](C1)CC[C@]3([C@H]2CC[C@@H](C3=C)O)C)C)C4CO4 + O,0
1147,1.14.14.16,a C21 steroid + [reduced NADPH-hemoprotein reductase] + O2 = a  21-hydroxy-C21-steroid + [oxidized NADPH-hemoprotein reductase] + H2O , + O=O =  + O,0
1148,1.14.14.160,(S)-beta-macrocarpene + 3 O2 + 3 [reduced NADPH-hemoprotein reductase]  = zealexin A1 + 4 H2O + 3 [oxidized NADPH-hemoprotein reductase],CC1=CC[C@H](CC1)C2=CCCC(C2)(C)C + 3 O=O + 3  = CC1(CCC=C(C1)[C@H]2CCC(=CC2)C(=O)[O-])C + 4 O + 3 ,0
1149,1.14.14.160,"(S)-beta-macrocarpene + O2 + [reduced NADPH-hemoprotein reductase] =  [(4S)-4-(5,5-dimethylcyclohex-1-en-1-yl)-cyclohex-1-en-1-yl]methanol +  H2O + [oxidized NADPH-hemoprotein reductase]",CC1=CC[C@H](CC1)C2=CCCC(C2)(C)C + O=O = CC1(CCC=C(C1)[C@H]2CCC(=CC2)CO)C + O,0
1150,1.14.14.160,"[(4S)-4-(5,5-dimethylcyclohex-1-en-1-yl)-cyclohex-1-en-1-yl] methanol +  O2 + [reduced NADPH-hemoprotein reductase] =  (4S)-4-(5,5-dimethylcyclohex-1-en-1-yl)cyclohex-1-ene-1-carbaldehyde +  2 H2O + [oxidized NADPH-hemoprotein reductase]",CC1(CCC=C(C1)[C@H]2CCC(=CC2)CO)C + O=O = CC1(CCC=C(C1)[C@H]2CCC(=CC2)C=O)C + CC1=CC=C(C=C1)/C=N/N=C\2/N(C(=CS2)C3=CC4=C(C=CC(=C4)Br)OC3=O)CC5=CC=CC=C5,0
1151,1.14.14.160,"(4S)-4-(5,5-dimethylcyclohex-1-en-1-yl)cyclohex-1-ene-1-carbaldehyde +  O2 + [reduced NADPH-hemoprotein reductase] = zealexin A1 + H2O +  [oxidized NADPH-hemoprotein reductase] ",CC1(CCC=C(C1)[C@H]2CCC(=CC2)C=O)C + O=O = CC1(CCC=C(C1)[C@H]2CCC(=CC2)C(=O)[O-])C + O,0
1152,1.14.14.161,"(+)-cis,trans-nepetalactol + 3 [reduced NADPH-hemoprotein reductase] +  3 O2 = 7-deoxyloganetate + 3 [oxidized NADPH-hemoprotein reductase] + 4  H2O",C[C@H]1CC[C@H]2[C@@H]1C(OC=C2C)O + 3  = C[C@H]1CC[C@H]2[C@@H]1[C@@H](OC=C2C(=O)[O-])O + 3 4 O,0
1153,1.14.14.161,"(+)-cis,trans-nepetalactol + [reduced NADPH-hemoprotein reductase] + O2  = 7-deoxyloganetic alcohol + [oxidized NADPH-hemoprotein reductase] +  H2O",C[C@H]1CC[C@H]2[C@@H]1C(OC=C2C)O + O=O = C[C@H]1CC[C@H]2[C@@H]1[C@@H](OC=C2CO)O + O,0
