protein,EC
P39135,2.7.8.7
A0A0A8IC08,3.2.1.68
V5SNJ5,2.4.1.21
K4REZ6,2.6.1.114
Q6WE15,1.14.14.22
A0A0C4JZB0,3.2.1.99
K9WT99,1.6.3.1
Q9AXN7,4.1.1.25
Q0D4J5,2.5.1.54
Q8FRX3,1.14.13.82
D0QXJ0,1.3.1.77
G9JKM4,6.2.1.73
Q4G056,3.1.4.1
Q9FHA4,3.4.21.62
A0A0H2XIV6,4.1.1.33
E8MF13,2.4.1.211
Q24LS5,4.6.1.2
Q8GED9,1.3.3.13
Q6QD76,1.3.2.3
P50578,1.1.1.2
Q2VPS0,3.1.3.70
C1I213,2.7.7.48
A3F8V2,3.2.1.176
O66036,2.7.7.4
V9H1F5,1.2.4.1
B5AS38,1.13.11.1
Q148T8,1.2.3.1
P84714,1.11.1.7
A0A1D5YL35,6.3.5.4
P0A817,2.5.1.6
Q1EMA6,3.2.1.73
B7FRB8,2.3.1.15
X5I148,4.1.1.61
O33722,1.14.19.28
I9XDU6,4.2.1.25
O15864,4.2.3.5
P76621,1.14.11.64
Q80W57,7.6.2.3
A0A3T0NL00,3.4.24.36
Q84FL5,5.4.3.11
A0A0H2VD14,2.7.13.3
Q8UBL5,2.6.1.19
I4IY26,3.2.1.78
Q2V2G3,1.14.20.4
O83023,4.1.1.49
E0RU15,5.1.3.11
Q4A750,3.1.26.5
Q9FL12,3.4.21.107
E1M8Z5,3.4.24.13
P0ABK2,7.1.1.7
D2XNF3,3.6.4.10
C5J3R8,1.1.1.12
E7BAR3,3.4.21.45
Q6VAY1,3.2.1.8
P28161,2.5.1.18
Q7G193,1.2.3.7
D0QZM2,3.4.22.51
Q9LYD8,1.1.3.8
Q6Z1Y6,2.3.1.87
Q53688,5.4.99.15
W8E1X9,3.2.1.165
Q9C7R6,2.3.2.27
Q1L874,2.8.2.32
P0AC84,3.1.2.6
Q9FAZ3,1.11.1.6
Q50J34,2.4.99.8
H2QBX9,1.13.11.33
G3FJ91,1.2.1.44
Q6N3F1,4.2.3.156
A5D9J7,7.4.2.14
B4XB45,3.1.3.2
Q8ILF7,1.4.1.4
Q13332,3.1.3.48
P19921,1.2.7.4
P72156,3.8.1.8
S5ZID9,2.7.7.6
Q9FJ78,2.3.1.75
M4DU26,1.1.1.219
C7S853,1.14.11.9
A0A1U7Y0I8,1.1.1.284
Q02293,2.5.1.59
P19413,2.8.3.25
B5AS49,1.13.11.1
Q9FXQ4,2.4.1.207
E7DDG2,1.13.11.2
Q941I0,1.3.1.105
W5B5U2,2.5.1.43
A0A097BPZ8,1.14.15.3
Q962G8,2.4.1.18
Q09767,3.6.5.2
P9WG59,4.2.3.1
Q61176,3.5.3.1
C7C437,2.3.3.14
Q05628,2.1.1.195
Q8IDM2,2.7.7.14
O04865,3.1.4.4
Q9FIN1,3.1.1.31
W0J9X7,2.5.1.28
P31072,1.1.1.44
H9C4A3,1.10.3.2
P29030,3.2.1.14
Q9Y8H8,1.15.1.1
A0A1J0AJ11,3.1.2.14
D9J009,2.3.2.13
A0A060Q715,3.4.24.21
P0A877,4.2.1.20
Q52QI6,6.2.2.2
O15162,7.6.2.1
A0A0F6FX23,1.1.1.4
Q8NQR0,2.7.1.15
A3MWK6,1.4.1.4
Q57977,2.1.1.260
Q76LT2,2.7.1.63
Q9C509,4.1.2.27
C9DEC7,4.6.1.18
Q766C3,3.4.23.12
B3KYI7,4.6.1.1
Q2LC81,5.1.3.5
Q93J06,3.1.1.3
Q8GI81,2.3.1.304
P93647,3.6.4.7
P15042,6.5.1.2
M4E380,1.1.1.219
Q6DFQ9,2.7.11.2
Q2U9Z9,3.4.11.21
O35795,3.6.1.5
Q73GL9,5.1.1.3
S5N020,4.1.3.25
A0A2D2D9V4,2.7.7.38
Q56839,1.8.1.5
Q96323,1.14.20.4
P71079,1.3.1.39
Q8YYV6,1.8.1.9
Q67Y55,2.6.1.5
A0A2X3T317,2.7.7.85
A6TBN1,3.5.4.5
Q5NNF0,1.11.1.5
B1B533,3.2.1.8
P95868,3.2.1.33
E7FHL9,1.1.1.1
D0ZTB2,7.2.2.14
Q6BRX5,3.1.3.16
Q9KQ59,1.11.1.19
E9NH27,2.1.1.255
B8CYA8,3.2.1.21
C9DEC2,4.6.1.18
I4EBJ0,2.3.1.304
Q84LF2,4.2.3.61
B8ZV94,5.4.3.6
A0A068EM79,1.14.11.9
F8V2T5,7.2.2.13
A0A0C5Q4Y6,1.14.14.175
A9KSL5,2.4.1.279
Q8L856,7.2.1.3
P09223,1.15.1.1
O59445,1.5.5.2
W5BMA4,2.5.1.43
Q94C49,2.3.1.225
D2WL57,2.5.1.18
P75367,3.1.4.46
A9KSL6,2.4.1.334
Q27J88,2.4.1.212
A0A077JGG8,4.2.3.19
P81453,2.3.2.13
J9PRP0,3.1.1.81
A7UC64,3.2.1.18
Q6EMB2,6.3.2.61
F3LQD6,1.14.13.81
Q8NSB6,7.4.2.5
A5WI42,2.1.1.72
C7BBC1,4.1.1.17
Q9F9T3,1.14.14.33
P50250,3.3.1.1
D1C7Y4,3.4.21.26
Q63WL5,2.7.7.38
A0A0H3M2X0,3.4.11.18
A1IIX2,1.14.14.27
Q980S1,5.4.2.8
A0A1X9M8K4,2.3.3.15
P14335,3.6.4.13
Q9NW38,2.3.2.27
H9N7V9,1.2.1.44
Q92MM4,5.1.1.15
Q9SD04,4.3.3.2
B9T625,4.2.3.19
P29120,3.4.21.93
A0A098DKM1,3.6.5.2
A8YZE2,5.1.3.9
B2RH42,1.1.1.335
Q5GMP2,3.1.3.69
P44684,3.6.1.13
Q12913,3.1.3.48
Q9M4U9,1.3.2.3
B8GG73,2.4.99.18
A0P0F0,3.5.2.20
A3UR40,4.2.2.3
Q91CA5,3.4.22.28
Q887K9,1.14.99.58
Q8GT20,2.3.1.196
B8NHY3,4.2.1.143
D7URZ1,3.2.1.151
Q20676,6.4.1.3
P07195,1.1.1.27
A0A1B1PGG4,1.4.1.20
A0A1L2JAW4,3.4.24.81
Q9JPB5,1.3.99.37
B0Y6Y4,2.7.1.30
A0A1L2D5S6,1.14.18.3
Q8RDN7,2.7.1.60
Q9KEI9,3.1.26.4
A0A286QVM7,2.4.1.16
Q9NQH7,3.4.11.9
Q9VJK8,2.1.1.325
Q50925,1.7.2.6
P59701,3.5.1.49
Q9ZEU2,2.4.1.4
Q79FV4,2.5.1.65
B2HHT4,2.1.1.15
O93344,1.2.1.36
B6VJL9,1.6.5.4
A9WC36,5.4.1.3
Q844J9,2.4.2.31
A8PUY1,3.1.1.79
F8U969,4.2.1.76
B3SNJ2,1.14.14.107
C9D6Z5,3.4.21.45
Q91V51,6.3.2.61
P93409,7.1.3.1
Q69T99,2.7.7.27
Q5VVQ6,3.4.19.12
Q5W254,2.4.1.198
B6ZH69,2.1.1.159
C5YCD6,4.3.1.25
A4ZKE4,2.3.1.133
Q803D9,2.1.1.319
Q3ZCF5,2.6.1.13
Q86UY6,2.3.1.257
P12726,2.4.2.30
A0A1E1FNX1,3.1.1.73
P95189,3.1.3.15
Q46856,1.1.1.2
D9IL10,1.2.1.12
P37661,2.7.8.42
D3GGN3,3.1.3.10
C5H405,1.15.1.1
A0A0F7X030,7.4.2.8
A0A336UZ51,1.2.3.1
Q500U1,3.5.5.7
A0A067BRK4,1.1.99.24
P13196,2.3.1.37
A6NA25,4.2.1.30
A4FT62,1.20.2.1
Q9AGK2,4.1.1.69
D5L6Z2,2.5.1.46
Q8PUW8,2.4.99.18
Q9TUD4,2.4.1.69
A0A2Z5TXA4,2.7.7.43
D0UD38,6.1.1.11
Q88IJ6,4.2.1.10
P73903,3.5.1.2
Q851G2,1.14.14.76
O04886,3.1.1.11
D2Z0I0,2.6.1.44
U6NHS3,1.14.14.137
Q712V1,6.2.1.45
Q157H4,1.1.3.6
P05327,4.1.99.3
Q84FY8,1.1.1.37
G3XCK9,3.3.2.15
Q9HFW7,3.6.5.1
Q4X084,3.2.1.6
A0A1A7BFR5,1.2.1.75
Q9VKB3,2.1.1.204
A0A023JCF9,2.5.1.18
B2ZFP6,1.14.15.30
P05425,7.2.2.8
P35821,3.1.3.48
O48840,3.1.3.2
Q3I5C4,1.11.1.11
A1B5Y0,1.3.8.12
Q9XJ31,2.5.1.21
C5AXV8,1.1.2.10
Q3UN02,2.3.1.62
D1GFE6,3.2.1.8
A0A4S2CHH9,3.5.1.24
Q01064,3.1.4.17
Q925R7,2.4.1.41
Q1D5Y4,4.2.1.18
A0A384E145,2.5.1.18
A0A1D5SSY7,2.6.1.80
Q8YZ70,4.4.1.29
H9M5U5,4.2.3.48
Q4H4E7,6.2.1.39
P04415,2.7.7.7
A0A088B191,2.1.1.68
G1UII1,1.4.1.16
Q4L2Q1,5.4.99.11
A0A0H3K7Y1,5.4.99.18
F1SWB0,2.4.99.1
Q38DE2,3.1.13.5
P06745,5.3.1.9
C4B644,1.14.14.24
Q0SY49,1.5.1.20
E3VVV6,2.6.1.52
Q97II1,2.7.2.7
A0A060Q714,3.4.24.21
P00388,1.6.2.4
Q5MY95,3.6.1.5
P95474,2.7.2.2
O33853,3.2.1.62
A0A0N9LQL8,3.1.1.11
Q01320,5.6.2.2
A5H0J5,2.6.1.2
P9WG39,2.2.1.6
Q9LE33,1.1.1.81
Q81IH1,5.6.2.1
A0A2K3DIY0,2.7.9.4
Q864F1,3.1.4.35
P27000,6.1.1.17
M9VR53,3.1.1.73
A0A2L0ARV1,2.3.3.10
Q8VXY9,3.5.1.116
A0A1W6QDI7,4.2.3.131
Q2U9N2,3.4.14.9
C1G1C3,1.1.1.3
P86927,6.5.1.3
Q67GI0,1.3.99.31
P9WN93,4.2.1.2
P0AES2,4.2.1.40
G4L7W3,2.7.7.85
P9WQH1,2.7.2.1
Q4K7S1,1.14.99.58
A0A1L7NW73,5.5.1.19
B8R7Q2,2.4.1.347
Q8Y6G5,3.6.4.13
Q3V5Z1,2.3.1.153
A0A0F8AU16,3.4.22.1
B3FIE3,3.5.2.6
P90838,6.5.1.8
A0A511K7D9,2.3.1.20
P61081,2.3.2.34
Q2TME9,2.8.3.8
Q45462,7.6.2.9
B9MPC3,2.4.1.18
A0A0E4B8N8,1.14.14.17
M5DCM0,1.7.2.6
O24990,1.3.1.9
Q5LLG6,1.11.1.7
Q6P4F1,2.4.1.65
I3PLR2,3.1.1.105
Q7TQ90,1.1.1.284
A6P663,1.14.14.19
A0A0B6VMB0,2.7.1.45
Q7XB40,6.3.2.3
I6WU39,4.4.1.26
P36059,4.2.1.93
A0A2Z4I2U3,7.2.2.10
Q5SDQ0,2.1.1.103
Q2EPZ0,1.14.14.1
A0A024A6V9,3.2.1.37
Q9SCY2,5.2.1.8
Q6FTZ7,3.4.23.24
A0A140CUL9,1.1.99.13
F8UL80,4.2.3.23
K0INW1,4.2.1.104
P09323,2.7.1.193
A0A2R2WT05,2.7.8.2
Q02129,2.4.2.17
F4Y9J1,1.14.12.23
Q8GW27,4.2.1.134
O29985,1.6.3.3
A8AA25,4.2.1.120
A0QV44,3.1.26.4
Q8WZG3,1.10.3.2
H6AGY0,1.1.3.16
M1JEK6,1.14.14.31
Q08960,4.1.3.44
P36107,2.7.1.227
Q45648,3.2.1.73
G4T024,2.4.1.4
D5L1S4,1.3.1.75
C3PTS8,2.3.1.99
E9ADF9,4.1.1.49
P35575,3.1.3.9
B9K760,3.2.1.32
P94127,1.7.2.4
A0A3S4PHH6,1.1.3.6
Q9M5J1,1.13.11.92
P26663,3.6.4.13
C0IRI1,2.4.1.207
S5ZYX9,2.7.7.6
Q9AE87,1.14.19.77
P28340,2.7.7.7
Q9DE15,3.4.24.35
P56089,2.1.2.1
A0A097SRT3,4.2.3.38
A0A024FRN3,5.3.4.1
Q62658,5.2.1.8
Q5EPE6,2.7.7.24
B5ATV4,3.2.1.28
Q9X0G9,5.3.1.6
A0A1C9J6A7,4.2.3.20
A0A3Q9R4N5,1.14.14.174
Q6NUS8,2.4.1.17
Q8BHC7,3.4.21.108
Q93FU9,2.4.1.10
P13513,4.2.3.6
B2DDA7,5.6.2.1
P32178,5.4.99.5
B2BF38,1.11.1.13
O59089,1.5.5.2
P9WHV5,3.6.1.11
Q7TMR0,3.4.16.2
Q0WXX2,1.7.1.17
D6A5I3,1.4.3.11
D0VDT4,1.1.1.149
O59245,6.5.1.8
A4UU35,2.4.1.18
Q3LTL2,2.7.11.2
A0A1B0NFD3,2.5.1.32
O35303,3.6.5.5
D3GG13,3.2.1.14
J8LJI8,2.7.7.7
C1DHE3,3.6.1.54
Q8J229,3.2.1.7
Q4FME3,5.1.1.1
A0A0U2ZR03,1.14.11.13
A8N8Z1,5.4.2.2
Q46654,2.4.1.10
Q9QWR8,3.2.1.49
C3W4M7,1.13.11.2
Q749I7,2.7.13.3
H6UGW9,5.3.1.4
Q9WYA5,2.1.1.13
Q9H8E8,2.3.1.48
Q2SS13,2.1.1.190
O25017,1.8.4.2
A0A1C3HPS5,4.1.1.39
A4XIF7,3.2.1.91
Q9LIH7,2.3.1.225
G3H5K6,1.2.4.1
A0MLR7,1.1.1.6
A0A3S8Z5R6,3.1.26.4
O59425,3.1.26.5
Q75QJ0,1.1.1.219
Q55664,4.1.2.13
Q04JB0,6.1.1.5
A3DCI2,1.2.1.10
S5YSM1,1.1.99.24
Q95992,1.14.99.38
B4Z1D7,3.1.3.1
Q93RA0,1.2.7.3
Q4D159,2.3.1.256
P75897,3.5.1.110
Q3A2P1,6.3.4.14
Q99MK8,2.7.11.16
Q602L6,4.1.2.13
O65843,1.2.1.12
P04993,3.1.11.5
I6LWU3,3.4.21.32
C0LJH4,1.1.1.28
Q9M9K1,5.4.2.12
B7S5L1,1.8.4.12
Q58707,5.1.3.31
A0A1Y0E209,3.5.1.24
Q8NRE3,2.3.1.117
B1P195,3.2.1.37
A0A0F6PL61,2.3.1.87
Q9VFS2,1.13.11.65
Q1ZZ95,4.3.1.24
C3JZ29,3.1.4.46
C7DXW4,3.1.4.17
Q82K09,3.5.4.40
W5ZNX7,3.2.1.4
E1C9L4,1.1.1.243
Q7X9G4,2.2.1.6
Q6ZMG9,2.3.1.24
A0A144KZK6,1.10.3.2
E9AFX2,2.7.1.227
A0A0K0M968,3.4.22.27
A0A1E8EW64,2.3.1.304
O76728,3.4.21.83
O67931,1.8.5.4
G7CNL4,1.1.1.205
B2J1M0,1.2.1.80
W9SPF5,1.14.14.137
A0A5Q2UVJ5,1.1.3.4
P72758,4.2.1.1
P60334,1.13.11.20
P04418,3.2.2.17
Q9U4U8,1.13.12.7
D4GTL2,2.3.3.9
Q8VX04,2.3.3.17
A0A1C3HPL7,4.1.1.39
I3DTM5,1.1.1.244
A0A166HLT6,3.2.1.3
Q99X56,1.14.99.48
Q8H1F7,2.7.4.26
Q6XJV3,1.3.1.83
Q41428,1.14.18.1
H2C8H2,2.7.1.161
Q8L970,1.14.11.2
A0A0S0FTT9,5.4.99.5
Q08220,6.3.2.3
I1RGL6,2.8.2.1
A0A133Q8U5,3.5.4.10
I4AY86,2.5.1.109
P97259,2.4.1.155
Q9KWU1,4.2.2.3
Q9BYJ1,4.2.1.152
A0A0H2ZR57,3.1.1.53
A0A0A1GNW8,2.5.1.150
Q7XJM2,1.13.11.71
A0A1W6AKT2,3.2.1.73
P11987,1.14.13.25
C5ARG4,4.1.1.74
Q6ZQ88,1.14.99.66
C0BWQ2,1.1.1.176
A0A0S1LJ33,1.4.3.2
Q96VU7,4.4.1.1
P9WQ19,5.4.99.16
A0A2D1UJM7,3.1.3.108
D6W5Y2,1.11.1.12
P52999,4.1.1.11
C4PKK7,3.1.3.8
P39890,4.2.1.154
J7FE12,1.14.19.20
Q9UWR7,3.2.1.201
A7LH74,3.6.1.5
G9IE21,4.2.2.10
P32660,7.6.2.1
C4MLH8,2.1.1.354
Q68ED3,2.7.7.19
Q8U4M3,2.4.1.83
Q46S72,2.8.3.16
Q74V64,2.7.8.7
E9M5S1,5.1.3.18
Q9BVJ7,3.1.3.48
A0A0H2UNY1,2.3.1.30
P9WJL3,6.3.2.13
P22418,3.1.3.11
Q46920,1.7.1.13
Q58A54,2.4.1.41
Q924X7,2.7.11.1
Q96IV0,3.5.1.52
A0A1C9HIY7,3.2.1.57
B5TYS8,1.14.15.30
Q71EW5,4.2.1.112
O27089,3.5.4.10
C0IRH9,2.4.1.207
Q81IK1,1.19.1.1
O66015,3.1.1.3
P17109,2.2.1.9
Q2YNC6,2.5.1.78
A0A1D3TX75,5.3.1.1
Q9HXE9,2.7.8.24
P38501,1.7.2.1
B9V284,6.3.5.5
P21912,1.3.5.1
Q6C9V5,2.3.1.20
P60785,3.6.5.3
I3V5V6,1.3.1.31
P11177,1.2.4.1
G1JUH1,4.2.3.105
A0A0B5GPY2,2.3.3.17
E3W9C4,1.14.14.113
A0A073KHN9,1.7.1.6
Q9HIY5,4.6.1.16
A3JB27,3.8.1.5
A0A0F6VXD9,5.1.1.4
P76461,2.3.1.9
G0YUP0,2.1.1.255
Q5E9B1,1.1.1.27
P95645,2.7.7.77
A0A060NTE1,3.1.1.81
I1VSB0,3.1.7.11
Q12535,3.1.1.11
E2FZ90,3.1.1.7
P20960,3.5.5.1
Q4E4E7,2.6.1.5
Q9QZ05,2.7.11.20
B3SGB4,7.1.1.9
Q2PCE5,3.1.1.1
B1PZW5,3.4.17.23
P14404,2.1.1.367
Q8K354,1.1.1.184
Q7RVP6,2.4.1.16
L0EJP9,3.1.1.14
B6VJS4,2.1.1.240
G3K720,3.1.1.14
P0DJN9,1.14.13.81
G0XZD8,3.2.1.15
D3U658,1.14.19.6
W8PF21,3.2.1.4
M1GNQ2,1.14.14.14
O31156,3.11.1.1
Q4JFF1,4.2.1.166
Q33DX9,1.14.19.74
A7LI11,3.4.24.26
U3JB00,3.4.17.3
E6Y8N8,1.15.1.1
Q5IH77,3.4.22.41
G9N7J4,2.7.8.7
P72640,3.4.23.43
B5TR18,1.1.1.195
P77455,3.3.2.12
P36204,5.3.1.1
O81000,1.14.14.17
A0A0P0VFU1,1.1.1.195
Q56813,2.7.8.31
P93243,4.1.2.46
O32393,4.6.1.1
Q56W08,3.1.4.11
P23279,4.4.1.14
A0A098E0E9,3.6.5.2
O66375,2.4.99.1
Q9FRX7,1.2.1.5
B5IEU6,4.1.2.4
F6KV62,2.1.1.157
A0A168GPL0,5.1.3.2
A0A0B6CP33,1.8.4.11
Q8ZVF7,3.6.1.6
Q3U827,2.3.2.27
Q5X1A3,5.4.2.10
Q5ZWR1,7.2.2.8
A0A0A2SLZ4,6.3.4.2
A0A0H3Q5A5,1.16.3.1
W0NXH4,5.5.1.18
P35558,4.1.1.32
Q5H4T8,4.4.1.1
I0GZ55,3.2.1.168
Q6DPL2,3.2.1.18
Q9KB30,3.2.1.156
A0A385FV32,1.1.1.34
Q9FI78,2.3.1.133
G2XKU9,3.1.1.11
K0GEV3,3.5.2.6
S6B1F6,4.2.2.18
P00956,6.1.1.5
P00794,3.4.23.4
Q8K2I3,1.14.13.8
Q97U94,3.2.1.22
D9J2T9,3.2.2.22
Q7SA85,3.6.4.7
Q5X9A9,2.4.1.212
Q8NT99,3.6.1.11
Q9ZB22,3.2.1.96
J9E728,5.3.1.4
A0A2K3E3Z9,2.3.1.15
Q12737,1.3.3.5
P05096,2.7.7.101
Q8I273,2.7.7.60
Q7XAF0,5.5.1.24
D0ERY7,3.1.4.53
Q8U0Z6,1.12.7.2
P51776,2.7.9.1
Q54755,6.3.4.14
B4Y0U2,2.3.1.115
A0A0D4BT92,2.3.1.167
Q5L3C7,6.3.4.13
E3T3A3,1.13.11.71
P82385,1.15.1.2
I0E0A7,2.7.3.5
P46283,3.1.3.37
Q8VI97,2.7.7.84
A0A0B7L730,2.7.7.85
Q5RBE8,1.13.11.33
A8AAX2,1.3.1.13
Q9UVV0,3.2.1.39
B3IUN8,4.1.1.6
B1X2S9,3.1.1.14
Q4Q5S8,2.3.1.97
Q9ZNN8,1.1.1.76
P18125,1.14.14.23
Q23192,2.3.1.108
O05264,5.3.1.14
Q5JNT6,2.5.1.47
A0A0H3DJW0,3.1.3.16
P84126,4.1.1.48
B5B0J6,1.14.13.113
E0NDE9,1.1.1.28
Q8IKU0,3.1.1.31
A0A1D8D5T2,4.2.1.165
G8GER6,3.1.1.74
Q58T34,2.7.7.30
D2YZE2,2.5.1.29
Q93W25,5.2.1.8
Q9WVP6,2.7.7.19
Q39514,3.1.2.14
Q9P9N2,2.7.7.7
O45216,4.1.1.28
O69077,2.7.2.4
Q9AHR4,6.3.4.3
Q8CMZ0,1.1.1.27
P45414,2.4.2.52
Q5RJG7,2.7.7.40
A0A0E4A9D6,1.1.1.4
H9BQR9,1.1.1.236
Q6TUJ5,3.5.3.1
Q9XGF2,4.4.1.5
P15925,6.3.2.17
Q8VDZ4,2.3.1.225
Q2G0R9,3.1.1.29
A8UHA2,5.4.99.8
M5AWX6,2.7.11.13
I7FWY1,2.7.12.2
Q9KXN0,3.2.2.26
F2YZ26,3.5.2.6
F8GV06,1.1.1.421
O68541,3.2.1.8
C3VI43,1.1.1.22
A8J4P1,1.7.7.1
A8BJJ7,2.7.7.9
P27744,1.21.3.1
P00183,1.14.15.1
A0A5Q0TZK6,1.2.1.84
D3RXI0,4.2.1.100
O31611,2.7.6.5
P0CS83,3.4.23.24
Q9SZB3,1.1.1.354
A0A088MAR6,4.5.1.3
Q8TBZ6,2.1.1.221
P78581,3.1.1.20
Q8K3K7,2.3.1.51
Q9MT29,2.5.1.48
B1A4R6,1.1.1.27
I1W6L2,2.4.1.21
H6U4J0,1.14.19.18
Q15910,2.1.1.356
I3EBM6,4.1.2.13
T1RLC7,1.16.1.1
Q6KZ98,1.13.11.27
Q9HKI3,2.2.1.2
Q2UKV4,4.1.1.43
Q6Z2T6,1.3.1.83
Q9FZ21,1.14.11.13
B8C5X1,2.1.1.373
K9QM01,3.1.1.14
P27988,2.3.1.169
B1KDE7,2.7.1.2
Q01468,5.3.2.6
O54259,1.13.12.22
Q8A9Z1,4.1.1.96
Q89XJ6,1.7.2.4
P48421,1.14.14.43
G5ECE4,2.3.2.15
F4JUE3,3.2.1.23
Q92410,2.4.1.15
A0A0A7E972,3.1.1.7
A8CFB7,3.8.1.5
P31512,1.14.13.8
C4P087,2.1.1.37
Q9NUJ1,3.1.1.93
C0SVZ6,2.3.1.219
Q9ZMW8,4.4.1.21
P80725,1.16.3.1
A0A2Z4HQK0,2.5.1.43
Q9KKP2,4.1.99.12
A0A1D8PPA8,2.6.1.57
H6VVJ2,2.4.1.242
G0KZG8,4.2.2.11
R4RZI6,3.2.1.18
O09046,1.4.3.2
P28998,1.4.1.4
P04905,2.5.1.18
Q9WY30,3.1.4.52
Q9JZR4,4.3.3.7
A0A061M1M5,3.2.1.145
I3L5D4,2.7.12.2
Q91XE0,2.3.1.71
F6L7F5,1.1.1.195
A0A0U4N9W8,2.7.4.6
Q92769,3.5.1.98
A0A0M3KKU5,2.3.1.57
B6RGY0,3.5.1.88
Q5UQL3,2.7.4.6
Q8GS38,5.3.99.6
D5UNC2,2.3.1.5
Q9S1J9,2.7.13.3
Q2RSU5,2.8.4.6
Q9URR6,1.14.14.54
A0A0E3KJK7,4.2.3.89
Q07923,1.6.5.2
Q8X8Y1,1.1.1.267
B5LAW0,4.3.1.24
Q6IMX8,3.1.2.2
P0AD62,2.7.1.40
Q9Y8C2,2.8.1.12
H6VX88,2.3.1.304
P22288,3.5.4.16
P41888,2.7.6.2
Q07599,3.2.1.18
Q2LAL0,1.14.14.90
A5HMI0,1.14.13.7
B0K6M2,2.3.3.21
I3RE04,3.2.1.133
Q51718,3.1.1.75
E5LGB4,3.1.21.4
O59147,6.1.1.19
C7C6F6,1.13.11.63
R1FY33,1.14.19.13
Q45NF5,1.14.18.1
Q9CG58,1.1.3.15
Q97VW1,3.1.1.1
Q7XJI2,1.14.13.81
A3M692,4.2.1.10
Q93YN9,2.7.1.158
Q13569,3.2.2.29
A5EXI3,3.4.21.62
Q1KMU6,4.4.1.21
Q94CE5,2.6.1.96
W8U368,3.1.7.2
A0A1D0BQV8,3.1.1.73
A8RG82,5.1.3.30
Q9ZU51,2.3.2.27
O22788,1.11.2.3
Q3HXC2,3.2.1.21
Q9Z453,2.3.1.187
Q9ZLF0,3.1.21.4
P58281,3.6.5.5
D5FLG2,2.7.3.3
Q45RG2,2.5.1.150
I1LTZ2,3.5.1.98
Q8RW90,3.7.1.2
Q59478,4.2.2.3
Q00G65,1.14.14.31
B1INP5,3.4.24.69
P04904,2.5.1.18
A0A248QF88,3.4.22.27
Q8L7K9,1.1.1.39
Q9SGC1,5.4.2.2
C1L321,2.4.1.120
Q82T88,2.7.7.27
A0A0F6TMI2,3.1.1.74
W0FXB0,3.1.1.4
B5M077,1.14.20.4
A5Z0G1,1.1.1.234
Q02278,6.2.1.49
A0A125YXL3,6.1.1.18
Q96I59,6.1.1.22
Q9DD46,1.2.1.36
P32754,1.13.11.27
Q9KVL7,4.1.1.20
P11213,2.7.7.88
Q5U8X5,3.4.21.113
A9U0F4,2.7.1.1
C3VEV9,3.2.1.8
P05023,7.2.2.3
A9NI53,5.6.1.5
A0A1C3HPP9,4.1.1.39
Q0GYU5,1.1.1.372
A7UMP3,4.1.1.15
D7FXE4,5.1.3.37
O04841,3.6.1.17
Q6Q874,2.5.1.122
E9AN23,3.6.1.15
Q9FCP2,2.5.1.98
P05100,3.2.2.20
Q8PC55,2.7.7.6
Q6N757,2.4.2.37
Q8VDG3,3.1.13.4
D5AHU8,4.1.2.4
A0A3Q9KTF8,2.1.1.281
P00586,2.8.1.1
A2GH85,1.5.1.30
A0A060TAG5,4.1.1.59
C7BFZ4,1.3.1.45
Q9GQC3,2.4.1.16
W2E3J5,2.4.2.30
A0A1I7P0P5,2.4.1.210
L0N593,3.2.1.80
O31671,2.7.13.3
Q7Z624,2.1.1.60
A5EGD7,2.8.3.16
P00634,3.1.3.1
P17411,3.2.1.86
A7WNU1,3.2.1.176
A0A1B1WA14,3.1.1.73
P39485,1.1.1.47
I3PLR4,2.3.1.285
P86883,1.1.1.1
B0F837,1.3.1.33
Q8GB52,3.4.21.62
Q8VWI4,1.8.7.1
Q9ZM18,3.4.21.107
O48723,3.1.1.23
C6FWG9,3.4.11.1
Q2VGA9,1.20.9.1
Q6H5L4,3.1.3.12
A0A1S3ZYT7,1.1.1.284
V5IPE4,3.5.5.5
Q93YH6,1.2.1.13
I0J1I6,5.1.1.10
Q9X0N2,1.1.1.42
A0A558JDR6,2.6.1.21
Q549K5,1.13.12.19
Q5U9J8,4.4.1.23
A8Y998,6.2.2.2
B0F3R6,1.2.1.12
Q9Y4X5,2.3.2.31
A3GHR6,1.1.1.2
D0VP31,4.2.2.2
A0A250DVS3,1.14.18.3
Q52675,1.8.5.3
Q04750,5.6.2.1
Q9YE27,1.15.1.1
F8QXH4,2.1.1.325
G4VV60,4.2.1.92
D9IEF7,3.2.1.17
F8RGR8,1.1.1.237
P25855,1.4.4.2
E9AH04,2.5.1.10
C3W956,1.14.19.45
Q8YSA0,1.14.99.63
D3YIG6,2.6.1.16
P06986,2.6.1.9
P35798,4.4.1.31
Q6C5L8,2.3.1.61
P26168,1.21.98.3
Q81QQ0,5.4.4.2
Q02189,1.3.7.2
Q72DT2,1.8.99.2
D1L2X1,3.2.1.87
Q9BSE5,3.5.3.11
Q84N28,2.1.1.169
O00298,2.7.7.51
Q8KLK7,1.13.11.80
B0LF77,2.3.1.20
U6BYK3,3.5.1.61
P13587,7.2.2.3
Q8SSM8,4.1.2.13
Q59517,3.5.2.6
Q6XVW8,7.4.2.8
Q71SS9,7.1.1.9
A0A172Q4G4,2.5.1.43
J5JB66,2.4.1.109
O67216,4.3.3.7
P48507,6.3.2.2
P00731,3.4.17.1
A0A0K2GVI7,2.5.1.116
